scientific_name,state,presentation,n_CF,n_EU,n_nonEuropean,max_CF,min_CF,range
Molva dypterygia,Frozen,filleted skinned,4,2,2,2.8,2.3,0.5
Molva molva,Frozen,filleted skinned,4,2,2,2.8,2.3,0.5
Thunnini,Frozen,gutted and headed,2,1,1,1.5,1,0.5
Gadus morhua,Salted,filleted skinned,2,1,1,4.8,4.32,0.48
Pollachius virens,Fresh,filleted skinned,3,2,2,2.9,2.43,0.47
Osteichthyes,Fresh,gutted and headed,2,1,1,1.46,1,0.46
Lophius piscatorius,Frozen,gutted and headed,2,1,1,3.25,2.8,0.45
Pollachius virens,Fresh,headed,3,2,2,1.7,1.25,0.45
Clupea harengus,Fresh,gutted and headed,5,4,4,1.44,1,0.44
Osteichthyes,Frozen,gutted and headed,2,1,1,1.44,1,0.44
Sprattus sprattus,Fresh,gutted and headed,4,3,3,1.44,1,0.44
Gadus morhua,Fresh,gutted and headed,18,9,9,1.8,1.38,0.42
Brosme brosme,Fresh,filleted,3,2,2,2.7,2.3,0.4
Brosme brosme,Fresh,filleted skinned,4,2,2,2.7,2.3,0.4
Brosme brosme,Frozen,filleted skinned,2,1,1,2.7,2.3,0.4
Pollachius pollachius,Frozen,filleted skinned,2,1,1,2.7,2.3,0.4
Diplodus spp,Frozen,gutted and headed,2,1,2,1.6,1.2,0.4
Pollachius pollachius,Fresh,gutted and headed,9,7,7,1.6,1.2,0.4
Solea solea,Frozen,gutted and headed,3,2,2,1.6,1.2,0.4
Coryphaenoides rupestris,Frozen,filleted skinned with pinbone on,2,2,2,2.6,2.2,0.4
Melanogrammus aeglefinus,Frozen,filleted,5,3,3,3,2.6,0.4
Mustelus spp,Frozen,gutted and headed,2,1,2,2,1.6,0.4
Pollachius pollachius,Frozen,filleted,2,1,1,3.1,2.7,0.4
Merluccius merluccius,Frozen,filleted,4,3,3,2.6,2.21,0.39
Molva molva,Fresh,gutted and headed,7,5,5,1.64,1.25,0.39
Aphanopus carbo,Frozen,gutted,3,2,2,1.48,1.1,0.38
Homarus gammarus,Fresh,gutted,2,2,2,1.37,1,0.37
Sebastes spp,Frozen,Japanese cut,4,3,3,2,1.63,0.37
Gadus morhua,Frozen,Japanese cut tail off,2,2,2,1.6,1.24,0.36
Merluccius merluccius,Fresh,gutted and headed,10,6,6,1.7,1.34,0.36
