scientific_name,state,presentation,n_CF,n_EU,n_nonEuropean,max_CF,min_CF,range
Clupea harengus,Frozen,gutted,2,1,1,1,1,0
Clupea harengus,Frozen,whole,5,4,4,1,1,0
Dasyatidae,Fresh,gutted,2,2,2,1.21,1.21,0
Deania hystricosa,Frozen,whole,2,2,2,1,1,0
Dissostichus eleginoides,Frozen,whole,2,1,1,1,1,0
Engraulis encrasicolus,Frozen,whole,2,2,2,1,1,0
Gadus morhua,Frozen,filleted skinned with pinbone on,2,2,2,2.95,2.95,0
Gadus morhua,Frozen,whole,4,3,3,1,1,0
Glyptocephalus cynoglossus,Frozen,whole,2,1,1,1,1,0
Hoplostethus atlanticus,Frozen,whole,4,3,3,1,1,0
Kajikia albida,Frozen,whole,2,2,2,1,1,0
Lamna nasus,Frozen,gutted,2,2,2,1.26,1.26,0
Lepidorhombus spp,Frozen,whole,3,2,2,1,1,0
Limanda ferruginea,Frozen,whole,2,1,1,1,1,0
Lophiidae,Frozen,filleted skinned,2,1,1,5.6,5.6,0
Lophiidae,Frozen,whole,4,3,3,1,1,0
Lophius piscatorius,Fresh,tail only (squid),2,1,1,3,3,0
Makaira nigricans,Frozen,whole,2,2,2,1,1,0
Mallotus villosus,Fresh,gutted and headed,2,1,1,1,1,0
Mallotus villosus,Frozen,whole,3,3,3,1,1,0
Martialia hyadesi,Frozen,whole,2,1,1,1,1,0
Melanogrammus aeglefinus,Frozen,filleted skinned with pinbone on,2,2,2,3,3,0
Melanogrammus aeglefinus,Frozen,whole,3,2,2,1,1,0
Merlangius merlangus,Frozen,whole,4,3,3,1,1,0
Merluccius merluccius,Frozen,whole,3,2,2,1,1,0
Merluccius spp,Frozen,filleted skinned,2,1,2,3.7,3.7,0
Micromesistius poutassou,Frozen,surimi,2,2,2,2.97,2.97,0
Micromesistius poutassou,Frozen,whole,3,3,3,1,1,0
Microstomus kitt,Frozen,whole,2,1,1,1,1,0
Molva dypterygia,Frozen,whole,3,2,2,1,1,0
Molva molva,Frozen,filleted skinned with pinbone on,2,2,2,2.3,2.3,0
Molva molva,Frozen,whole,3,2,2,1,1,0
Nephrops norvegicus,Fresh,gutted and headed,2,2,2,3,3,0
Nephrops norvegicus,Frozen,tail only (squid),3,2,2,3,3,0
Nephrops norvegicus,Frozen,whole,5,4,4,1,1,0
Oncorhynchus mykiss,Fresh,gutted,2,1,1,1.2,1.2,0
Pagellus bogaraveo,Fresh,gutted,3,3,3,1.11,1.11,0
Pagellus bogaraveo,Frozen,gutted,2,2,2,1.11,1.11,0
Pagellus bogaraveo,Frozen,whole,5,4,4,1,1,0
Phycis blennoides,Fresh,gutted and headed,2,1,1,1.4,1.4,0
Phycis blennoides,Frozen,whole,2,1,1,1,1,0
Platichthys flesus,Frozen,whole,2,1,1,1,1,0
Pleuronectes platessa,Frozen,whole,3,2,2,1,1,0
Pollachius pollachius,Frozen,whole,3,2,2,1,1,0
Pollachius virens,Frozen,filleted skinned with pinbone on,2,2,2,2.43,2.43,0
Pollachius virens,Frozen,whole,2,1,1,1,1,0
Rajidae,Frozen,whole,4,3,3,1,1,0
Rajidae,Frozen,wings only skinned,2,2,2,4,4,0
Reinhardtius hippoglossoides,Frozen,whole,5,4,4,1,1,0
Scomber scombrus,Fresh,filleted skinned,2,1,1,2.6,2.6,0
Scomber scombrus,Frozen,whole,4,3,3,1,1,0
Scophthalmus maximus,Frozen,whole,2,1,1,1,1,0
Scophthalmus rhombus,Frozen,whole,2,1,1,1,1,0
Sebastes marinus,Fresh,gutted,2,1,1,1.2,1.2,0
Sebastes spp,Frozen,whole,5,4,4,1,1,0
Solea solea,Frozen,filleted,2,1,1,2.5,2.5,0
Solea solea,Frozen,whole,3,2,2,1,1,0
Sparidae,Fresh,gutted,2,1,1,1.13,1.13,0
Sparus aurata,Fresh,gutted,2,2,2,1.11,1.11,0
Sprattus sprattus,Fresh,filleted,2,2,2,2,2,0
Sprattus sprattus,Fresh,whole,2,2,2,1,1,0
Squalus acanthias,Frozen,filleted,2,1,1,2.7,2.7,0
Squalus acanthias,Frozen,gutted headed skinned,2,1,1,2.52,2.52,0
Squalus acanthias,Frozen,whole,2,1,1,1,1,0
Thunnus alalunga,Fresh,gutted and headed,2,2,2,1.29,1.29,0
Thunnus alalunga,Frozen,whole,3,2,2,1,1,0
Thunnus obesus,Fresh,whole,2,2,2,1,1,0
Thunnus obesus,Frozen,headed,2,2,2,1.25,1.25,0
Thunnus obesus,Frozen,whole,2,2,2,1,1,0
Trachurus spp,Frozen,gutted,2,2,2,1.08,1.08,0
Trachurus spp,Frozen,whole,4,3,3,1,1,0
Trisopterus esmarkii,Frozen,whole,3,2,2,1,1,0
Xiphias gladius,Frozen,gutted headed tail off,2,2,2,1.33,1.33,0
Xiphias gladius,Frozen,whole,3,2,2,1,1,0
Merluccius merluccius,Fresh,filleted,5,3,3,NA,NA,NA
Merluccius merluccius,Fresh,filleted skinned,4,2,2,NA,NA,NA
