species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
ABZ,FRE_WHL,TOTAL,EUR,TOTAL,MT	123.6013 	: c	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,EU,MT	3987.138 	: c	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,MT,MT	3987.138 	6565.217 	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	3987.138 	: c	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,TPW,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,TPW,EU,MT	0.031 	: c	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,TPW,MT,MT	0.031 	0.046 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,TPW,TOTAL,MT	0.031 	: c	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR,EU,MT	123.6013 	: c	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR,MT,MT	123.6013 	302 	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR,TOTAL,MT	123.6013 	: c	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR_T,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR_T,EU,MT	3987.138 	: c	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR_T,MT,MT	3987.138 	6565.217 	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR_T,TOTAL,MT	3987.138 	: c	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,TPW,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,TPW,EU,MT	0.031 	: c	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,TPW,MT,MT	0.031 	0.046 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,TPW,TOTAL,MT	0.031 	: c	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,EU,MT	123.6013 	: c	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,MT,MT	123.6013 	302 	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,TOTAL,MT	123.6013 	: c	30 	63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,EU,MT	3987.138 	: c	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,MT,MT	3987.138 	6565.217 	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,TOTAL,MT	3987.138 	: c	10000 	4500 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,CY,MT	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,EU,MT	0.031 	: c	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,MT,MT	0.031 	0.046 	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,TOTAL,MT	0.031 	: c	0.003 	0.014 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AGN,FRE,HCN,EUR,EU,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE,HCN,EUR,MT,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE,HCN,EUR,TOTAL,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE,HCN,EUR_T,EU,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE,HCN,EUR_T,MT,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE,HCN,EUR_T,TOTAL,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
AGN,FRE,HCN,TPW,EU,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE,HCN,TPW,MT,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE,HCN,TPW,TOTAL,MT	: 	0.019 	0.039 	0.031 	0.0154 	: 	: 	: 	: 	: 	0.1 	: 	: 	: 	: 	: 
AGN,FRE,TOTAL,EUR,EU,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE,TOTAL,EUR,MT,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE,TOTAL,EUR,TOTAL,MT	: 	210.8 	311.6134 	260.4 	104.2971 	: 	: 	: 	: 	: 	154.6 	: 	: 	: 	: 	: 
AGN,FRE,TOTAL,EUR_T,EU,MT	: 	11094.737 	7990.086 	8400 	6760 	: 	: 	: 	: 	: 	1546 	: 	: 	: 	: 	: 
