species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
F30,FRE,HCN,EUR,CY,MT	: c	: c	: c	: c	: c	: c	: c	19865.17 	44322.9087 	88187.467 	61293.3 	45275.7976 	: 	: 	: 	: 
F30,FRE,HCN,EUR,EU,MT	: c	: c	: c	: c	: c	: c	: c	9168948.43 	7931173.7387 	7492730.603 	7192174.4 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,FRE,HCN,EUR,MT,MT	10519740.1091 	9927013.7554 	12444130.4917 	11343016.6156 	9101998.3003 	10519789.718 	10736243.9513 	9149083.26 	7886850.83 	7404543.136 	7130881.1 	6435792.9292 	5063744.3595 	: 	: 	: 
F30,FRE,HCN,EUR,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	9168948.43 	7931173.7387 	7492730.603 	7192174.4 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,FRE,HCN,EUR_T,CY,MT	: c	: c	: c	: c	: c	: c	: c	6207.8656 	5793.8443 	5541.8505 	4441.5435 	6036.773 	: 	: 	: 	: 
F30,FRE,HCN,EUR_T,EU,MT	: c	: c	: c	: c	: c	: c	: c	5378.6287 	4808.5497 	5043.0798 	6077.5515 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,FRE,HCN,EUR_T,MT,MT	4321.0914 	5244.1696 	5658.8074 	5248.1092 	4038.468 	4745.3502 	5327.817 	5377.0692 	4803.9585 	5037.6799 	6096.8546 	5585.6561 	4038.0737 	: 	: 	: 
F30,FRE,HCN,EUR_T,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	5378.6287 	4808.5497 	5043.0798 	6077.5515 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,FRE,HCN,TPW,CY,MT	: c	: c	: c	: c	: c	: c	: c	3.2 	7.65 	15.913 	13.8 	7.5 	: 	: 	: 	: 
F30,FRE,HCN,TPW,EU,MT	: c	: c	: c	: c	: c	: c	: c	1704.7 	1649.39 	1485.745 	1183.4 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,FRE,HCN,TPW,MT,MT	2434.51 	1892.962 	2199.073 	2161.353 	2253.8245 	2216.8627 	2015.13 	1701.5 	1641.74 	1469.832 	1169.6 	1152.2 	1254 	: 	: 	: 
F30,FRE,HCN,TPW,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	1704.7 	1649.39 	1485.745 	1183.4 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,FRE,TOTAL,EUR,CY,MT	: c	: c	: c	: c	: c	: c	: c	19865.17 	44322.9087 	88187.467 	61293.3 	45275.7976 	: 	: 	: 	: 
F30,FRE,TOTAL,EUR,EU,MT	: c	: c	: c	: c	: c	: c	: c	9168948.43 	7931173.7387 	7492730.603 	7192174.4 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,FRE,TOTAL,EUR,MT,MT	10519740.1091 	9927013.7554 	12444130.4917 	11343016.6156 	9101998.3003 	10519789.718 	10736243.9513 	9149083.26 	7886850.83 	7404543.136 	7130881.1 	6435792.9292 	5063744.3595 	: 	: 	: 
F30,FRE,TOTAL,EUR,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	9168948.43 	7931173.7387 	7492730.603 	7192174.4 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,FRE,TOTAL,EUR_T,CY,MT	: c	: c	: c	: c	: c	: c	: c	6207.8656 	5793.8443 	5541.8505 	4441.5435 	6036.773 	: 	: 	: 	: 
F30,FRE,TOTAL,EUR_T,EU,MT	: c	: c	: c	: c	: c	: c	: c	5378.6287 	4808.5497 	5043.0798 	6077.5515 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,FRE,TOTAL,EUR_T,MT,MT	4321.0914 	5244.1696 	5658.8074 	5248.1092 	4038.468 	4745.3502 	5327.817 	5377.0692 	4803.9585 	5037.6799 	6096.8546 	5585.6561 	4038.0737 	: 	: 	: 
F30,FRE,TOTAL,EUR_T,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	5378.6287 	4808.5497 	5043.0798 	6077.5515 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,FRE,TOTAL,TPW,CY,MT	: c	: c	: c	: c	: c	: c	: c	3.2 	7.65 	15.913 	13.8 	7.5 	: 	: 	: 	: 
F30,FRE,TOTAL,TPW,EU,MT	: c	: c	: c	: c	: c	: c	: c	1704.7 	1649.39 	1485.745 	1183.4 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,FRE,TOTAL,TPW,MT,MT	2434.51 	1892.962 	2199.073 	2161.353 	2253.8245 	2216.8627 	2015.13 	1701.5 	1641.74 	1469.832 	1169.6 	1152.2 	1254 	: 	: 	: 
F30,FRE,TOTAL,TPW,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	1704.7 	1649.39 	1485.745 	1183.4 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,FRE_GUT,HCN,EUR,EU,MT	1125805.0561 	924820.249 	2234245.9728 	174302.9962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,HCN,EUR,MT,MT	1125805.0561 	924820.249 	2234245.9728 	174302.9962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,HCN,EUR,TOTAL,MT	1125805.0561 	924820.249 	2234245.9728 	174302.9962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,HCN,EUR_T,EU,MT	9799.238 	8830.266 	11133.099 	10149.237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,HCN,EUR_T,MT,MT	9799.238 	8830.266 	11133.099 	10149.237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,HCN,EUR_T,TOTAL,MT	9799.238 	8830.266 	11133.099 	10149.237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,HCN,TPW,EU,MT	114.887 	104.733 	200.685 	17.174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,HCN,TPW,MT,MT	114.887 	104.733 	200.685 	17.174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,HCN,TPW,TOTAL,MT	114.887 	104.733 	200.685 	17.174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,EUR,EU,MT	1125805.0561 	924820.249 	2234245.9728 	174302.9962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,EUR,MT,MT	1125805.0561 	924820.249 	2234245.9728 	174302.9962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,EUR,TOTAL,MT	1125805.0561 	924820.249 	2234245.9728 	174302.9962 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,EUR_T,EU,MT	9799.238 	8830.266 	11133.099 	10149.237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,EUR_T,MT,MT	9799.238 	8830.266 	11133.099 	10149.237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,EUR_T,TOTAL,MT	9799.238 	8830.266 	11133.099 	10149.237 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,TPW,EU,MT	114.887 	104.733 	200.685 	17.174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,TPW,MT,MT	114.887 	104.733 	200.685 	17.174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_GUT,TOTAL,TPW,TOTAL,MT	114.887 	104.733 	200.685 	17.174 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F30,FRE_NSP,HCN,EUR,CY,MT	: 	: 	: 	: 	: c	: c	: c	2939 	6226.3188 	5050.5 	6297.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,HCN,EUR,EU,MT	: 	: 	: 	: 	: c	: c	: c	2939 	6226.3188 	5050.5 	6297.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,HCN,EUR,TOTAL,MT	: 	: 	: 	: 	: c	: c	: c	2939 	6226.3188 	5050.5 	6297.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,HCN,EUR_T,CY,MT	: 	: 	: 	: 	: c	: c	: c	5878 	5321.64 	2730 	2519 	: 	: 	: 	: 	: 
F30,FRE_NSP,HCN,EUR_T,EU,MT	: 	: 	: 	: 	: c	: c	: c	5878 	5321.64 	2730 	2519 	: 	: 	: 	: 	: 
F30,FRE_NSP,HCN,EUR_T,TOTAL,MT	: 	: 	: 	: 	: c	: c	: c	5878 	5321.64 	2730 	2519 	: 	: 	: 	: 	: 
F30,FRE_NSP,HCN,TPW,CY,MT	: 	: 	: 	: 	: c	: c	: c	0.5 	1.17 	1.85 	2.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,HCN,TPW,EU,MT	: 	: 	: 	: 	: c	: c	: c	0.5 	1.17 	1.85 	2.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,HCN,TPW,TOTAL,MT	: 	: 	: 	: 	: c	: c	: c	0.5 	1.17 	1.85 	2.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,EUR,CY,MT	: 	: 	: 	: 	: c	: c	: c	2939 	6226.3188 	5050.5 	6297.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,EUR,EU,MT	: 	: 	: 	: 	: c	: c	: c	2939 	6226.3188 	5050.5 	6297.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,EUR,TOTAL,MT	: 	: 	: 	: 	: c	: c	: c	2939 	6226.3188 	5050.5 	6297.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,EUR_T,CY,MT	: 	: 	: 	: 	: c	: c	: c	5878 	5321.64 	2730 	2519 	: 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,EUR_T,EU,MT	: 	: 	: 	: 	: c	: c	: c	5878 	5321.64 	2730 	2519 	: 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,EUR_T,TOTAL,MT	: 	: 	: 	: 	: c	: c	: c	5878 	5321.64 	2730 	2519 	: 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,TPW,CY,MT	: 	: 	: 	: 	: c	: c	: c	0.5 	1.17 	1.85 	2.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,TPW,EU,MT	: 	: 	: 	: 	: c	: c	: c	0.5 	1.17 	1.85 	2.5 	0 	: 	: 	: 	: 
F30,FRE_NSP,TOTAL,TPW,TOTAL,MT	: 	: 	: 	: 	: c	: c	: c	0.5 	1.17 	1.85 	2.5 	0 	: 	: 	: 	: 
F30,FRE_WHL,HCN,EUR,CY,MT	: c	: c	: c	: c	: c	: c	: c	16926.17 	38096.5899 	83136.967 	54995.8 	45275.7976 	: 	: 	: 	: 
F30,FRE_WHL,HCN,EUR,EU,MT	: c	: c	: c	: c	: c	: c	: c	9166009.43 	7924947.4199 	7487680.103 	7185876.9 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,FRE_WHL,HCN,EUR,MT,MT	9393935.053 	8882504.2878 	9837685.8607 	11139137.7876 	9101998.3003 	10519789.718 	10736243.9513 	9149083.26 	7886850.83 	7404543.136 	7130881.1 	6435792.9292 	5063744.3595 	: 	: 	: 
F30,FRE_WHL,HCN,EUR,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	9166009.43 	7924947.4199 	7487680.103 	7185876.9 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,FRE_WHL,HCN,EUR_T,CY,MT	: c	: c	: c	: c	: c	: c	: c	6268.9519 	5879.1034 	5911.7519 	4866.885 	6036.773 	: 	: 	: 	: 
F30,FRE_WHL,HCN,EUR_T,EU,MT	: c	: c	: c	: c	: c	: c	: c	5378.4822 	4808.1854 	5045.9636 	6085.085 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,FRE_WHL,HCN,EUR_T,MT,MT	4049.768 	4967.2074 	4922.8107 	5195.0596 	4038.468 	4745.3502 	5327.817 	5377.0692 	4803.9585 	5037.6799 	6096.8546 	5585.6561 	4038.0737 	: 	: 	: 
F30,FRE_WHL,HCN,EUR_T,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	5378.4822 	4808.1854 	5045.9636 	6085.085 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,FRE_WHL,HCN,TPW,CY,MT	: c	: c	: c	: c	: c	: c	: c	2.7 	6.48 	14.063 	11.3 	7.5 	: 	: 	: 	: 
F30,FRE_WHL,HCN,TPW,EU,MT	: c	: c	: c	: c	: c	: c	: c	1704.2 	1648.22 	1483.895 	1180.9 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,FRE_WHL,HCN,TPW,MT,MT	2319.623 	1788.229 	1998.388 	2144.179 	2253.8245 	2216.8627 	2015.13 	1701.5 	1641.74 	1469.832 	1169.6 	1152.2 	1254 	: 	: 	: 
F30,FRE_WHL,HCN,TPW,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	1704.2 	1648.22 	1483.895 	1180.9 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,FRE_WHL,TOTAL,EUR,CY,MT	: c	: c	: c	: c	: c	: c	: c	16926.17 	38096.5899 	83136.967 	54995.8 	45275.7976 	: 	: 	: 	: 
F30,FRE_WHL,TOTAL,EUR,EU,MT	: c	: c	: c	: c	: c	: c	: c	9166009.43 	7924947.4199 	7487680.103 	7185876.9 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,FRE_WHL,TOTAL,EUR,MT,MT	9393935.053 	8882504.2878 	9837685.8607 	11139137.7876 	9101998.3003 	10519789.718 	10736243.9513 	9149083.26 	7886850.83 	7404543.136 	7130881.1 	6435792.9292 	5063744.3595 	: 	: 	: 
F30,FRE_WHL,TOTAL,EUR,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	9166009.43 	7924947.4199 	7487680.103 	7185876.9 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,FRE_WHL,TOTAL,EUR_T,CY,MT	: c	: c	: c	: c	: c	: c	: c	6268.9519 	5879.1034 	5911.7519 	4866.885 	6036.773 	: 	: 	: 	: 
F30,FRE_WHL,TOTAL,EUR_T,EU,MT	: c	: c	: c	: c	: c	: c	: c	5378.4822 	4808.1854 	5045.9636 	6085.085 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,FRE_WHL,TOTAL,EUR_T,MT,MT	4049.768 	4967.2074 	4922.8107 	5195.0596 	4038.468 	4745.3502 	5327.817 	5377.0692 	4803.9585 	5037.6799 	6096.8546 	5585.6561 	4038.0737 	: 	: 	: 
F30,FRE_WHL,TOTAL,EUR_T,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	5378.4822 	4808.1854 	5045.9636 	6085.085 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,FRE_WHL,TOTAL,TPW,CY,MT	: c	: c	: c	: c	: c	: c	: c	2.7 	6.48 	14.063 	11.3 	7.5 	: 	: 	: 	: 
F30,FRE_WHL,TOTAL,TPW,EU,MT	: c	: c	: c	: c	: c	: c	: c	1704.2 	1648.22 	1483.895 	1180.9 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,FRE_WHL,TOTAL,TPW,MT,MT	2319.623 	1788.229 	1998.388 	2144.179 	2253.8245 	2216.8627 	2015.13 	1701.5 	1641.74 	1469.832 	1169.6 	1152.2 	1254 	: 	: 	: 
F30,FRE_WHL,TOTAL,TPW,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	1704.2 	1648.22 	1483.895 	1180.9 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,TOTAL,HCN,EUR,CY,MT	: c	: c	: c	: c	: c	: c	: c	19865.17 	44322.9087 	88187.467 	61293.3 	45275.7976 	: 	: 	: 	: 
F30,TOTAL,HCN,EUR,EU,MT	: c	: c	: c	: c	: c	: c	: c	9168948.43 	7931173.7387 	7492730.603 	7192174.4 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,TOTAL,HCN,EUR,MT,MT	10519740.1091 	9927013.7554 	12444130.4917 	11343016.6156 	9101998.3003 	10519789.718 	10736243.9513 	9149083.26 	7886850.83 	7404543.136 	7130881.1 	6435792.9292 	5063744.3595 	: 	: 	: 
F30,TOTAL,HCN,EUR,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	9168948.43 	7931173.7387 	7492730.603 	7192174.4 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,TOTAL,HCN,EUR_T,CY,MT	: c	: c	: c	: c	: c	: c	: c	6207.8656 	5793.8443 	5541.8505 	4441.5435 	6036.773 	: 	: 	: 	: 
F30,TOTAL,HCN,EUR_T,EU,MT	: c	: c	: c	: c	: c	: c	: c	5378.6287 	4808.5497 	5043.0798 	6077.5515 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,TOTAL,HCN,EUR_T,MT,MT	4321.0914 	5244.1696 	5658.8074 	5248.1092 	4038.468 	4745.3502 	5327.817 	5377.0692 	4803.9585 	5037.6799 	6096.8546 	5585.6561 	4038.0737 	: 	: 	: 
F30,TOTAL,HCN,EUR_T,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	5378.6287 	4808.5497 	5043.0798 	6077.5515 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,TOTAL,HCN,TPW,CY,MT	: c	: c	: c	: c	: c	: c	: c	3.2 	7.65 	15.913 	13.8 	7.5 	: 	: 	: 	: 
F30,TOTAL,HCN,TPW,EU,MT	: c	: c	: c	: c	: c	: c	: c	1704.7 	1649.39 	1485.745 	1183.4 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,TOTAL,HCN,TPW,MT,MT	2434.51 	1892.962 	2199.073 	2161.353 	2253.8245 	2216.8627 	2015.13 	1701.5 	1641.74 	1469.832 	1169.6 	1152.2 	1254 	: 	: 	: 
F30,TOTAL,HCN,TPW,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	1704.7 	1649.39 	1485.745 	1183.4 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,TOTAL,TOTAL,EUR,CY,MT	: c	: c	: c	: c	: c	: c	: c	19865.17 	44322.9087 	88187.467 	61293.3 	45275.7976 	: 	: 	: 	: 
F30,TOTAL,TOTAL,EUR,EU,MT	: c	: c	: c	: c	: c	: c	: c	9168948.43 	7931173.7387 	7492730.603 	7192174.4 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,TOTAL,TOTAL,EUR,MT,MT	10519740.1091 	9927013.7554 	12444130.4917 	11343016.6156 	9101998.3003 	10519789.718 	10736243.9513 	9149083.26 	7886850.83 	7404543.136 	7130881.1 	6435792.9292 	5063744.3595 	: 	: 	: 
F30,TOTAL,TOTAL,EUR,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	9168948.43 	7931173.7387 	7492730.603 	7192174.4 	6481068.7269 	5063744.3595 	5271843.3395 	3800948.9245 	3635259.9781 
F30,TOTAL,TOTAL,EUR_T,CY,MT	: c	: c	: c	: c	: c	: c	: c	6207.8656 	5793.8443 	5541.8505 	4441.5435 	6036.773 	: 	: 	: 	: 
F30,TOTAL,TOTAL,EUR_T,EU,MT	: c	: c	: c	: c	: c	: c	: c	5378.6287 	4808.5497 	5043.0798 	6077.5515 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,TOTAL,TOTAL,EUR_T,MT,MT	4321.0914 	5244.1696 	5658.8074 	5248.1092 	4038.468 	4745.3502 	5327.817 	5377.0692 	4803.9585 	5037.6799 	6096.8546 	5585.6561 	4038.0737 	: 	: 	: 
F30,TOTAL,TOTAL,EUR_T,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	5378.6287 	4808.5497 	5043.0798 	6077.5515 	5588.5735 	4038.0737 	4069.3503 	3667.0998 	3540.0331 
F30,TOTAL,TOTAL,TPW,CY,MT	: c	: c	: c	: c	: c	: c	: c	3.2 	7.65 	15.913 	13.8 	7.5 	: 	: 	: 	: 
F30,TOTAL,TOTAL,TPW,EU,MT	: c	: c	: c	: c	: c	: c	: c	1704.7 	1649.39 	1485.745 	1183.4 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F30,TOTAL,TOTAL,TPW,MT,MT	2434.51 	1892.962 	2199.073 	2161.353 	2253.8245 	2216.8627 	2015.13 	1701.5 	1641.74 	1469.832 	1169.6 	1152.2 	1254 	: 	: 	: 
F30,TOTAL,TOTAL,TPW,TOTAL,MT	: c	: c	: c	: c	: c	: c	: c	1704.7 	1649.39 	1485.745 	1183.4 	1159.7 	1254 	1295.5 	1036.5 	1026.9 
F31,FRE,HCN,EUR,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE,HCN,EUR,EU,MT	: c	1657.9999 	: c	: c	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE,HCN,EUR,MT,MT	6615.6311 	1657.9999 	1141.0757 	1120.2143 	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE,HCN,EUR,TOTAL,MT	: c	1657.9999 	: c	: c	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE,HCN,EUR_T,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE,HCN,EUR_T,EU,MT	: c	2098.734 	: c	: c	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE,HCN,EUR_T,MT,MT	6813.2143 	2098.734 	4564.3029 	7518.2165 	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE,HCN,EUR_T,TOTAL,MT	: c	2098.734 	: c	: c	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE,HCN,TPW,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE,HCN,TPW,EU,MT	: c	0.79 	: c	: c	0.954 	1.8483 	9.05 	0.5 	0.48 	0.221 	0 	: 	: 	: 	: 	: 
F31,FRE,HCN,TPW,MT,MT	0.971 	0.79 	0.25 	0.149 	0.954 	1.8483 	9.05 	0.5 	0.48 	0.221 	0 	: 	: 	: 	: 	: 
F31,FRE,HCN,TPW,TOTAL,MT	: c	0.79 	: c	: c	0.954 	1.8483 	9.05 	0.5 	0.48 	0.221 	0 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,EUR,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,EUR,EU,MT	: c	1657.9999 	: c	: c	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,EUR,MT,MT	6615.6311 	1657.9999 	1141.0757 	1120.2143 	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,EUR,TOTAL,MT	: c	1657.9999 	: c	: c	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,EUR_T,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,EUR_T,EU,MT	: c	2098.734 	: c	: c	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,EUR_T,MT,MT	6813.2143 	2098.734 	4564.3029 	7518.2165 	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,EUR_T,TOTAL,MT	: c	2098.734 	: c	: c	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,TPW,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,TPW,EU,MT	: c	0.79 	: c	: c	0.954 	1.8483 	9.05 	0.5 	0.48 	0.221 	0 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,TPW,MT,MT	0.971 	0.79 	0.25 	0.149 	0.954 	1.8483 	9.05 	0.5 	0.48 	0.221 	0 	: 	: 	: 	: 	: 
F31,FRE,TOTAL,TPW,TOTAL,MT	: c	0.79 	: c	: c	0.954 	1.8483 	9.05 	0.5 	0.48 	0.221 	0 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,EUR,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,EUR,EU,MT	: c	1657.9999 	: c	: c	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,EUR,MT,MT	6615.6311 	1657.9999 	1141.0757 	1120.2143 	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,EUR,TOTAL,MT	: c	1657.9999 	: c	: c	5493.2 	7195.7583 	7530 	4537.56 	2147.6817 	893.65 	0 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,EUR_T,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,EUR_T,EU,MT	: c	2098.734 	: c	: c	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,EUR_T,MT,MT	6813.2143 	2098.734 	4564.3029 	7518.2165 	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,EUR_T,TOTAL,MT	: c	2098.734 	: c	: c	5758.0713 	3893.2819 	832.0442 	9075.12 	4474.3369 	4043.6652 	: 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,TPW,CY,MT	: c	: 	: c	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F31,FRE_WHL,HCN,TPW,EU,MT	: c	0.79 	: c	: c	0.954 	1.8483 	9.05 	0.5 	0.48 	0.221 	0 	: 	: 	: 	: 	: 
