species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ABZ,FRE,HCN,EUR,EU,EE	4.5 	3.0492 	13.8169 	49.5 	: 	: 	: 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE,HCN,EUR,TOTAL,EE	4.5 	3.0492 	13.8169 	49.5 	: 	: 	: 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,EE,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,EU,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE,HCN,EUR_T,TOTAL,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE,HCN,TPW,EE,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE,HCN,TPW,EU,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE,HCN,TPW,TOTAL,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE,TOTAL,EUR,EE,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE,TOTAL,EUR,EU,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE,TOTAL,EUR,TOTAL,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE,TOTAL,EUR_T,EE,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE,TOTAL,EUR_T,EU,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE,TOTAL,EUR_T,TOTAL,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE,TOTAL,TPW,EE,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE,TOTAL,TPW,EU,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE,TOTAL,TPW,TOTAL,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE_WHL,ANF,EUR,EE,EE	: 	: 	: 	: 	2 	37 	11.4 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,ANF,EUR,EU,EE	: 	: 	: 	: 	2 	37 	11.4 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,ANF,EUR,TOTAL,EE	: 	: 	: 	: 	2 	37 	11.4 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,ANF,EUR_T,EE,EE	: 	: 	: 	: 	50 	50 	60 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,ANF,EUR_T,EU,EE	: 	: 	: 	: 	50 	50 	60 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,ANF,EUR_T,TOTAL,EE	: 	: 	: 	: 	50 	50 	60 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,ANF,TPW,EE,EE	: 	: 	: 	: 	0.04 	0.74 	0.19 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,ANF,TPW,EU,EE	: 	: 	: 	: 	0.04 	0.74 	0.19 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,ANF,TPW,TOTAL,EE	: 	: 	: 	: 	0.04 	0.74 	0.19 	: 	: 	: 	: 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR,EE,EE	4.5 	3.0492 	13.8169 	49.5 	: 	: 	: 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR,EU,EE	4.5 	3.0492 	13.8169 	49.5 	: 	: 	: 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR,TOTAL,EE	4.5 	3.0492 	13.8169 	49.5 	: 	: 	: 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR_T,EE,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR_T,EU,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE_WHL,HCN,EUR_T,TOTAL,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE_WHL,HCN,TPW,EE,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE_WHL,HCN,TPW,EU,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE_WHL,HCN,TPW,TOTAL,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR,EE,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR,EU,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR,TOTAL,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,EE,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,EU,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,EUR_T,TOTAL,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,TPW,EE,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,TPW,EU,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,FRE_WHL,TOTAL,TPW,TOTAL,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,TOTAL,ANF,EUR,EE,EE	: 	: 	: 	: 	2 	37 	11.4 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,ANF,EUR,EU,EE	: 	: 	: 	: 	2 	37 	11.4 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,ANF,EUR,TOTAL,EE	: 	: 	: 	: 	2 	37 	11.4 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,ANF,EUR_T,EE,EE	: 	: 	: 	: 	50 	50 	60 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,ANF,EUR_T,EU,EE	: 	: 	: 	: 	50 	50 	60 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,ANF,EUR_T,TOTAL,EE	: 	: 	: 	: 	50 	50 	60 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,ANF,TPW,EE,EE	: 	: 	: 	: 	0.04 	0.74 	0.19 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,ANF,TPW,EU,EE	: 	: 	: 	: 	0.04 	0.74 	0.19 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,ANF,TPW,TOTAL,EE	: 	: 	: 	: 	0.04 	0.74 	0.19 	: 	: 	: 	: 	: 	: 	: 
ABZ,TOTAL,HCN,EUR,EE,EE	4.5 	3.0492 	13.8169 	49.5 	: 	: 	: 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,TOTAL,HCN,EUR,EU,EE	4.5 	3.0492 	13.8169 	49.5 	: 	: 	: 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,TOTAL,HCN,EUR,TOTAL,EE	4.5 	3.0492 	13.8169 	49.5 	: 	: 	: 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,TOTAL,HCN,EUR_T,EE,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,TOTAL,HCN,EUR_T,EU,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,TOTAL,HCN,EUR_T,TOTAL,EE	90 	95.2891 	95.2891 	150 	: 	: 	: 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,TOTAL,HCN,TPW,EE,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,TOTAL,HCN,TPW,EU,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,TOTAL,HCN,TPW,TOTAL,EE	0.05 	0.032 	0.145 	0.33 	: 	: 	: 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,EE,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,EU,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR,TOTAL,EE	4.5 	3.0492 	13.8169 	49.5 	2 	37 	11.4 	7.5 	: 	: 	1.4144 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,EE,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,EU,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,TOTAL,TOTAL,EUR_T,TOTAL,EE	90 	95.2891 	95.2891 	150 	50 	50 	60 	150 	: 	: 	17.68 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,EE,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,EU,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ABZ,TOTAL,TOTAL,TPW,TOTAL,EE	0.05 	0.032 	0.145 	0.33 	0.04 	0.74 	0.19 	0.05 	: 	: 	0.08 	: 	: 	: 
ACC,FRE,ANF,EUR,EE,EE	: 	: 	: 	: 	4580.175 	7350.4464 	10014.3906 	9909.792 	4067.3284 	2346.3714 	1275.6676 	: 	: 	: 
ACC,FRE,ANF,EUR,EU,EE	: 	: 	: 	: 	4580.175 	7350.4464 	10014.3906 	9909.792 	4067.3284 	2346.3714 	1275.6676 	: 	: 	: 
ACC,FRE,ANF,EUR,TOTAL,EE	: 	: 	: 	: 	4580.175 	7350.4464 	10014.3906 	9909.792 	4067.3284 	2346.3714 	1275.6676 	: 	: 	: 
ACC,FRE,ANF,EUR_T,EE,EE	: 	: 	: 	: 	129.75 	189.64 	195.67 	162.99 	125.69 	93.93 	63.34 	: 	: 	: 
ACC,FRE,ANF,EUR_T,EU,EE	: 	: 	: 	: 	129.75 	189.64 	195.67 	162.99 	125.69 	93.93 	63.34 	: 	: 	: 
