species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
AHH,TOTAL,HCN,EUR_T,HR,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,TOTAL,HCN,EUR_T,TOTAL,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,TOTAL,HCN,TPW,EU,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AHH,TOTAL,HCN,TPW,HR,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AHH,TOTAL,HCN,TPW,TOTAL,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AHH,TOTAL,TOTAL,EUR,EU,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,TOTAL,TOTAL,EUR,HR,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,TOTAL,TOTAL,EUR,TOTAL,HR	16292.6722 	16074.2416 	20787.2693 	16619.289 	18133.5799 	25882.7661 	9075.3418 	44661.8368 
AHH,TOTAL,TOTAL,EUR_T,EU,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,TOTAL,TOTAL,EUR_T,HR,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,TOTAL,TOTAL,EUR_T,TOTAL,HR	3133.2062 	2711.442 	2551.6998 	3203.4096 	3005.2735 	2771.1741 	1463.7648 	3513.9132 
AHH,TOTAL,TOTAL,TPW,EU,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AHH,TOTAL,TOTAL,TPW,HR,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AHH,TOTAL,TOTAL,TPW,TOTAL,HR	5.2 	5.9283 	8.1464 	5.188 	6.0339 	9.34 	6.2 	12.71 
AJH,FRE,HCN,EUR,EU,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE,HCN,EUR,HR,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE,HCN,EUR,TOTAL,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE,HCN,EUR_T,EU,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE,HCN,EUR_T,HR,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE,HCN,EUR_T,TOTAL,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE,HCN,TPW,EU,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE,HCN,TPW,HR,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE,HCN,TPW,TOTAL,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE,TOTAL,EUR,EU,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE,TOTAL,EUR,HR,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE,TOTAL,EUR,TOTAL,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE,TOTAL,EUR_T,EU,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE,TOTAL,EUR_T,HR,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE,TOTAL,EUR_T,TOTAL,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE,TOTAL,TPW,EU,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE,TOTAL,TPW,HR,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE,TOTAL,TPW,TOTAL,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE_WHL,HCN,EUR,EU,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE_WHL,HCN,EUR,HR,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE_WHL,HCN,EUR,TOTAL,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
AJH,FRE_WHL,HCN,EUR_T,EU,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE_WHL,HCN,EUR_T,HR,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE_WHL,HCN,EUR_T,TOTAL,HR	20034.1741 	8086.2736 	17377.8649 	12352.8652 	10230.9022 	13728.9526 	3625.5102 	10754.1336 
AJH,FRE_WHL,HCN,TPW,EU,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE_WHL,HCN,TPW,HR,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE_WHL,HCN,TPW,TOTAL,HR	0.6 	0.7295 	0.7398 	0.9392 	0.9955 	1.1 	1.31 	0.94 
AJH,FRE_WHL,TOTAL,EUR,EU,HR	12020.5045 	5898.9366 	12856.1445 	11601.811 	10184.8631 	15101.8479 	4749.4184 	10108.8856 
