species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
F02,TOTAL,TOTAL,TPW,TOTAL,HR	0.7 	0.4995 	0.595 	0.1493 	0.5133 	0.69 	0.39 	0.4 
F04,FRE,HCN,EUR,EU,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE,HCN,EUR,HR,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE,HCN,EUR,TOTAL,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE,HCN,EUR_T,EU,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE,HCN,EUR_T,HR,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE,HCN,EUR_T,TOTAL,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE,HCN,TPW,EU,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE,HCN,TPW,HR,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE,HCN,TPW,TOTAL,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE,TOTAL,EUR,EU,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE,TOTAL,EUR,HR,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE,TOTAL,EUR,TOTAL,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE,TOTAL,EUR_T,EU,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE,TOTAL,EUR_T,HR,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE,TOTAL,EUR_T,TOTAL,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE,TOTAL,TPW,EU,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE,TOTAL,TPW,HR,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE,TOTAL,TPW,TOTAL,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE_WHL,HCN,EUR,EU,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE_WHL,HCN,EUR,HR,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE_WHL,HCN,EUR,TOTAL,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE_WHL,HCN,EUR_T,EU,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE_WHL,HCN,EUR_T,HR,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE_WHL,HCN,EUR_T,TOTAL,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE_WHL,HCN,TPW,EU,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE_WHL,HCN,TPW,HR,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE_WHL,HCN,TPW,TOTAL,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE_WHL,TOTAL,EUR,EU,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE_WHL,TOTAL,EUR,HR,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE_WHL,TOTAL,EUR,TOTAL,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,FRE_WHL,TOTAL,EUR_T,EU,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE_WHL,TOTAL,EUR_T,HR,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,FRE_WHL,TOTAL,TPW,EU,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE_WHL,TOTAL,TPW,HR,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,FRE_WHL,TOTAL,TPW,TOTAL,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,TOTAL,HCN,EUR,EU,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,TOTAL,HCN,EUR,HR,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,TOTAL,HCN,EUR,TOTAL,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,TOTAL,HCN,EUR_T,EU,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,TOTAL,HCN,EUR_T,HR,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,TOTAL,HCN,EUR_T,TOTAL,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,TOTAL,HCN,TPW,EU,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,TOTAL,HCN,TPW,HR,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,TOTAL,HCN,TPW,TOTAL,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,TOTAL,TOTAL,EUR,EU,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,TOTAL,TOTAL,EUR,HR,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,TOTAL,TOTAL,EUR,TOTAL,HR	11772104.9906 	11585476.5308 	13869746.447 	14732734.1825 	14723250.2882 	14182507.9899 	8472377.8775 	10460041.2774 
F04,TOTAL,TOTAL,EUR_T,EU,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,TOTAL,TOTAL,EUR_T,HR,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,TOTAL,TOTAL,EUR_T,TOTAL,HR	5049.8466 	4622.8536 	4813.954 	4627.7743 	4655.1994 	5137.808 	4753.5405 	6397.8331 
F04,TOTAL,TOTAL,TPW,EU,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,TOTAL,TOTAL,TPW,HR,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F04,TOTAL,TOTAL,TPW,TOTAL,HR	2331.1807 	2506.131 	2881.1548 	3183.5464 	3162.754 	2760.42 	1782.33 	1634.935 
F07,FRE,HCN,EUR,EU,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE,HCN,EUR,HR,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE,HCN,EUR,TOTAL,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE,HCN,EUR_T,EU,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE,HCN,EUR_T,HR,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE,HCN,EUR_T,TOTAL,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE,HCN,TPW,EU,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE,HCN,TPW,HR,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE,HCN,TPW,TOTAL,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE,TOTAL,EUR,EU,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE,TOTAL,EUR,HR,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE,TOTAL,EUR,TOTAL,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE,TOTAL,EUR_T,EU,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE,TOTAL,EUR_T,HR,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE,TOTAL,EUR_T,TOTAL,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE,TOTAL,TPW,EU,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE,TOTAL,TPW,HR,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE,TOTAL,TPW,TOTAL,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE_WHL,HCN,EUR,EU,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE_WHL,HCN,EUR,HR,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE_WHL,HCN,EUR,TOTAL,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE_WHL,HCN,EUR_T,EU,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE_WHL,HCN,EUR_T,HR,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE_WHL,HCN,EUR_T,TOTAL,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE_WHL,HCN,TPW,EU,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE_WHL,HCN,TPW,HR,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE_WHL,HCN,TPW,TOTAL,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE_WHL,TOTAL,EUR,EU,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE_WHL,TOTAL,EUR,HR,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE_WHL,TOTAL,EUR,TOTAL,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,FRE_WHL,TOTAL,EUR_T,EU,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE_WHL,TOTAL,EUR_T,HR,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,FRE_WHL,TOTAL,TPW,EU,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE_WHL,TOTAL,TPW,HR,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,FRE_WHL,TOTAL,TPW,TOTAL,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,TOTAL,HCN,EUR,EU,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,TOTAL,HCN,EUR,HR,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,TOTAL,HCN,EUR,TOTAL,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,TOTAL,HCN,EUR_T,EU,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,TOTAL,HCN,EUR_T,HR,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,TOTAL,HCN,EUR_T,TOTAL,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,TOTAL,HCN,TPW,EU,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,TOTAL,HCN,TPW,HR,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,TOTAL,HCN,TPW,TOTAL,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,TOTAL,TOTAL,EUR,EU,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,TOTAL,TOTAL,EUR,HR,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,TOTAL,TOTAL,EUR,TOTAL,HR	48490173.5804 	44851660.7386 	44631139.4096 	46323671.2555 	46948248.1064 	51741481.594 	43159524.8498 	70477729.345 
F07,TOTAL,TOTAL,EUR_T,EU,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,TOTAL,TOTAL,EUR_T,HR,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,TOTAL,TOTAL,EUR_T,TOTAL,HR	725.2545 	677.0833 	642.9569 	664.6835 	615.9479 	719.5568 	712.9083 	1036.0411 
F07,TOTAL,TOTAL,TPW,EU,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,TOTAL,TOTAL,TPW,HR,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F07,TOTAL,TOTAL,TPW,TOTAL,HR	66859.5254 	66242.4578 	69415.4503 	69692.8294 	76221.1353 	71907.427 	60540.08 	68026 
F08,FRE,HCN,EUR,EU,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE,HCN,EUR,HR,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE,HCN,EUR,TOTAL,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE,HCN,EUR_T,EU,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE,HCN,EUR_T,HR,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE,HCN,EUR_T,TOTAL,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE,HCN,TPW,EU,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE,HCN,TPW,HR,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE,HCN,TPW,TOTAL,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE,TOTAL,EUR,EU,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE,TOTAL,EUR,HR,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE,TOTAL,EUR,TOTAL,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE,TOTAL,EUR_T,EU,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE,TOTAL,EUR_T,HR,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE,TOTAL,EUR_T,TOTAL,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE,TOTAL,TPW,EU,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE,TOTAL,TPW,HR,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE,TOTAL,TPW,TOTAL,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE_WHL,HCN,EUR,EU,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE_WHL,HCN,EUR,HR,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE_WHL,HCN,EUR,TOTAL,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE_WHL,HCN,EUR_T,EU,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE_WHL,HCN,EUR_T,HR,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE_WHL,HCN,EUR_T,TOTAL,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE_WHL,HCN,TPW,EU,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE_WHL,HCN,TPW,HR,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE_WHL,HCN,TPW,TOTAL,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE_WHL,TOTAL,EUR,EU,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE_WHL,TOTAL,EUR,HR,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE_WHL,TOTAL,EUR,TOTAL,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,FRE_WHL,TOTAL,EUR_T,EU,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE_WHL,TOTAL,EUR_T,HR,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE_WHL,TOTAL,EUR_T,TOTAL,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,FRE_WHL,TOTAL,TPW,EU,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE_WHL,TOTAL,TPW,HR,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,FRE_WHL,TOTAL,TPW,TOTAL,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,TOTAL,HCN,EUR,EU,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,TOTAL,HCN,EUR,HR,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,TOTAL,HCN,EUR,TOTAL,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,TOTAL,HCN,EUR_T,EU,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,TOTAL,HCN,EUR_T,HR,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,TOTAL,HCN,EUR_T,TOTAL,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,TOTAL,HCN,TPW,EU,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,TOTAL,HCN,TPW,HR,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,TOTAL,HCN,TPW,TOTAL,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,TOTAL,TOTAL,EUR,EU,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,TOTAL,TOTAL,EUR,HR,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,TOTAL,TOTAL,EUR,TOTAL,HR	60262278.571 	56724926.2267 	58819189.2199 	61155226.0418 	61775014.4217 	65923989.5839 	51631902.7273 	80937770.6224 
F08,TOTAL,TOTAL,EUR_T,EU,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,TOTAL,TOTAL,EUR_T,HR,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,TOTAL,TOTAL,EUR_T,TOTAL,HR	870.9591 	825.1068 	813.5816 	839.1639 	778.1807 	882.8966 	828.4645 	1161.8818 
F08,TOTAL,TOTAL,TPW,EU,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,TOTAL,TOTAL,TPW,HR,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F08,TOTAL,TOTAL,TPW,TOTAL,HR	69190.7061 	68748.5888 	72296.605 	72876.3758 	79383.8893 	74667.847 	62322.41 	69660.935 
F20,FRE,HCN,EUR,EU,HR	8402.8884 	3602.3055 	4877.2403 	1874.763 	4239.397 	7230.6312 	3700.5331 	9444.8178 
F20,FRE,HCN,EUR,HR,HR	8402.8884 	3602.3055 	4877.2403 	1874.763 	4239.397 	7230.6312 	3700.5331 	9444.8178 
F20,FRE,HCN,EUR,TOTAL,HR	8402.8884 	3602.3055 	4877.2403 	1874.763 	4239.397 	7230.6312 	3700.5331 	9444.8178 
F20,FRE,HCN,EUR_T,EU,HR	12004.1263 	7211.8229 	8197.0425 	12557.0196 	8259.9065 	10479.1756 	9488.5465 	23612.0446 
F20,FRE,HCN,EUR_T,HR,HR	12004.1263 	7211.8229 	8197.0425 	12557.0196 	8259.9065 	10479.1756 	9488.5465 	23612.0446 
F20,FRE,HCN,EUR_T,TOTAL,HR	12004.1263 	7211.8229 	8197.0425 	12557.0196 	8259.9065 	10479.1756 	9488.5465 	23612.0446 
F20,FRE,HCN,TPW,EU,HR	0.7 	0.4995 	0.595 	0.1493 	0.5133 	0.69 	0.39 	0.4 
F20,FRE,HCN,TPW,HR,HR	0.7 	0.4995 	0.595 	0.1493 	0.5133 	0.69 	0.39 	0.4 
F20,FRE,HCN,TPW,TOTAL,HR	0.7 	0.4995 	0.595 	0.1493 	0.5133 	0.69 	0.39 	0.4 
F20,FRE,TOTAL,EUR,EU,HR	8402.8884 	3602.3055 	4877.2403 	1874.763 	4239.397 	7230.6312 	3700.5331 	9444.8178 
F20,FRE,TOTAL,EUR,HR,HR	8402.8884 	3602.3055 	4877.2403 	1874.763 	4239.397 	7230.6312 	3700.5331 	9444.8178 
