species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
F10,FRE,HCN,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE,HCN,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE,HCN,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE,HCN,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE,HCN,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE,TOTAL,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE,TOTAL,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE,TOTAL,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE,TOTAL,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE,TOTAL,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE,TOTAL,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE,TOTAL,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE,TOTAL,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE,TOTAL,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE_WHL,HCN,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE_WHL,HCN,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE_WHL,HCN,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE_WHL,HCN,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE_WHL,HCN,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE_WHL,HCN,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE_WHL,HCN,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE_WHL,HCN,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE_WHL,HCN,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE_WHL,TOTAL,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE_WHL,TOTAL,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE_WHL,TOTAL,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,FRE_WHL,TOTAL,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE_WHL,TOTAL,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE_WHL,TOTAL,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,FRE_WHL,TOTAL,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE_WHL,TOTAL,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,FRE_WHL,TOTAL,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,TOTAL,HCN,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,TOTAL,HCN,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,TOTAL,HCN,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,TOTAL,HCN,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,TOTAL,HCN,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,TOTAL,HCN,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,TOTAL,HCN,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,TOTAL,HCN,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,TOTAL,HCN,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,TOTAL,TOTAL,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,TOTAL,TOTAL,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,TOTAL,TOTAL,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F10,TOTAL,TOTAL,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,TOTAL,TOTAL,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,TOTAL,TOTAL,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F10,TOTAL,TOTAL,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,TOTAL,TOTAL,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F10,TOTAL,TOTAL,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE,HCN,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE,HCN,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE,HCN,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE,HCN,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE,HCN,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE,HCN,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE,HCN,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE,HCN,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE,HCN,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE,TOTAL,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE,TOTAL,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE,TOTAL,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE,TOTAL,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE,TOTAL,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE,TOTAL,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE,TOTAL,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE,TOTAL,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE,TOTAL,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE_WHL,HCN,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE_WHL,HCN,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE_WHL,HCN,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE_WHL,HCN,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE_WHL,HCN,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE_WHL,HCN,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE_WHL,HCN,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE_WHL,HCN,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE_WHL,HCN,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE_WHL,TOTAL,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE_WHL,TOTAL,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE_WHL,TOTAL,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,FRE_WHL,TOTAL,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE_WHL,TOTAL,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE_WHL,TOTAL,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,FRE_WHL,TOTAL,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE_WHL,TOTAL,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,FRE_WHL,TOTAL,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,TOTAL,HCN,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,TOTAL,HCN,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,TOTAL,HCN,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,TOTAL,HCN,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,TOTAL,HCN,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,TOTAL,HCN,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,TOTAL,HCN,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,TOTAL,HCN,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,TOTAL,HCN,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,TOTAL,TOTAL,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,TOTAL,TOTAL,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,TOTAL,TOTAL,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1228.4439 	1323.7319 	557.6801 	2246.7511 	: 	2098.7617 	510.5224 
F13,TOTAL,TOTAL,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,TOTAL,TOTAL,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,TOTAL,TOTAL,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	2047.4065 	2206.2199 	1695.0762 	2042.501 	: 	2098.7617 	1701.7414 
F13,TOTAL,TOTAL,TPW,EU,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,TOTAL,TOTAL,TPW,RO,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F13,TOTAL,TOTAL,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	0.6 	0.6 	0.329 	1.1 	: 	1 	0.3 
F20,FRE,HCN,EUR,EU,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE,HCN,EUR,RO,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE,HCN,EUR,TOTAL,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE,HCN,EUR_T,EU,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE,HCN,EUR_T,RO,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE,HCN,EUR_T,TOTAL,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE,HCN,TPW,EU,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE,HCN,TPW,RO,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE,HCN,TPW,TOTAL,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE,TOTAL,EUR,EU,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE,TOTAL,EUR,RO,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE,TOTAL,EUR,TOTAL,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE,TOTAL,EUR_T,EU,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE,TOTAL,EUR_T,RO,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE,TOTAL,EUR_T,TOTAL,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE,TOTAL,TPW,EU,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE,TOTAL,TPW,RO,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE,TOTAL,TPW,TOTAL,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE_WHL,HCN,EUR,EU,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE_WHL,HCN,EUR,RO,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE_WHL,HCN,EUR,TOTAL,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE_WHL,HCN,EUR_T,EU,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE_WHL,HCN,EUR_T,RO,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE_WHL,HCN,EUR_T,TOTAL,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE_WHL,HCN,TPW,EU,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE_WHL,HCN,TPW,RO,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE_WHL,HCN,TPW,TOTAL,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE_WHL,TOTAL,EUR,EU,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE_WHL,TOTAL,EUR,RO,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE_WHL,TOTAL,EUR,TOTAL,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,FRE_WHL,TOTAL,EUR_T,EU,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE_WHL,TOTAL,EUR_T,RO,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE_WHL,TOTAL,EUR_T,TOTAL,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,FRE_WHL,TOTAL,TPW,EU,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE_WHL,TOTAL,TPW,RO,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,FRE_WHL,TOTAL,TPW,TOTAL,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,TOTAL,HCN,EUR,EU,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,TOTAL,HCN,EUR,RO,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,TOTAL,HCN,EUR,TOTAL,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,TOTAL,HCN,EUR_T,EU,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,TOTAL,HCN,EUR_T,RO,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,TOTAL,HCN,EUR_T,TOTAL,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
F20,TOTAL,HCN,TPW,EU,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,TOTAL,HCN,TPW,RO,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,TOTAL,HCN,TPW,TOTAL,RO	4.74 	9.23 e	13.783 	22.425 	11 	34.519 	25.5 	47.553 	47.033 	71 	47.5 	9 	3.8 
F20,TOTAL,TOTAL,EUR,EU,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,TOTAL,TOTAL,EUR,RO,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,TOTAL,TOTAL,EUR,TOTAL,RO	9708.7882 	28530.9711 e	37891.8092 	53520.5491 	20017.9235 	55705.7321 	52726.8852 	98235.1212 	100296.4789 	141996.2738 	117942.4843 	9444.4281 	2726.7569 
F20,TOTAL,TOTAL,EUR_T,EU,RO	2048.2676 	3091.1128 e	2749.1699 	2386.6466 	1819.8112 	1613.7702 	2067.721 	2065.8028 	2132.4704 	1999.9475 	2482.9997 	1049.3809 	717.5676 
