species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 
ASP,FRE_WHL,TOTAL,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	1.5 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1597.7844 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1597.7844 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1597.7844 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	1065.1896 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	1065.1896 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	1065.1896 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,TPW,EU,RO	: 	: 	: 	: 	: 	: 	1.5 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,TPW,RO,RO	: 	: 	: 	: 	: 	: 	1.5 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,HCN,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	1.5 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,EUR,EU,RO	: 	: 	: 	: 	: 	: 	1597.7844 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,EUR,RO,RO	: 	: 	: 	: 	: 	: 	1597.7844 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,EUR,TOTAL,RO	: 	: 	: 	: 	: 	: 	1597.7844 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,EUR_T,EU,RO	: 	: 	: 	: 	: 	: 	1065.1896 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,EUR_T,RO,RO	: 	: 	: 	: 	: 	: 	1065.1896 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,EUR_T,TOTAL,RO	: 	: 	: 	: 	: 	: 	1065.1896 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,TPW,EU,RO	: 	: 	: 	: 	: 	: 	1.5 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,TPW,RO,RO	: 	: 	: 	: 	: 	: 	1.5 	: 	: 	: 	: 	: 	: 
ASP,TOTAL,TOTAL,TPW,TOTAL,RO	: 	: 	: 	: 	: 	: 	1.5 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,EUR,EU,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,EUR,RO,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,EUR,TOTAL,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,EUR_T,EU,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,EUR_T,RO,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,EUR_T,TOTAL,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,TPW,EU,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,TPW,RO,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,HCN,TPW,TOTAL,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,EUR,EU,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,EUR,RO,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,EUR,TOTAL,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,EUR_T,EU,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,EUR_T,RO,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,EUR_T,TOTAL,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,TPW,EU,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,TPW,RO,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE,TOTAL,TPW,TOTAL,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,EUR,EU,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,EUR,RO,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,EUR,TOTAL,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,EUR_T,EU,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,EUR_T,RO,RO	: 	: 	734.9011 	0 	337.5565 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,EUR_T,TOTAL,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,TPW,EU,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,TPW,RO,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,HCN,TPW,TOTAL,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,EUR,EU,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,EUR,RO,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,EUR,TOTAL,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,EUR_T,EU,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,EUR_T,RO,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,EUR_T,TOTAL,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,TPW,EU,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,TPW,RO,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,FRE_WHL,TOTAL,TPW,TOTAL,RO	: 	: 	0.085 	0 	0 	3.124 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,HCN,EUR,EU,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,HCN,EUR,RO,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,HCN,EUR,TOTAL,RO	: 	: 	62.4666 	0 	0 	706.9471 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,HCN,EUR_T,EU,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
ATB,TOTAL,HCN,EUR_T,RO,RO	: 	: 	734.9011 	: 	: 	226.2955 	: 	: 	: 	: 	: 	: 	: 
