species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
ALB,TOTAL,HCN,TPW,TOTAL,CY	628.2137 	570.684 	573.1 	511.2 	397.817 	358.8 	317.5 	241.9 	231 	216.8 	240 	620.1 	504.8 	394.9 	235.9 
ALB,TOTAL,TOTAL,EUR,CY,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,TOTAL,TOTAL,EUR,EU,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,TOTAL,TOTAL,EUR,TOTAL,CY	1256427.4 	1141368 	1289475 	961056 	896321.4827 	886236 	784225 	467108.9 	577500 	411920 	760800 	798233.8946 	701379.0141 	684603.7737 	1013577.376 
ALB,TOTAL,TOTAL,EUR_T,CY,CY	2000 	2000 	2250 	1880 	2253.1 	2470 	2470 	1931 	2500 	1900 	3170 	1287.2664 	1389.4196 	1733.613 	4296.64 
ALB,TOTAL,TOTAL,EUR_T,EU,CY	2000 	2000 	2250 	1880 	2253.1 	2470 	2470 	1931 	2500 	1900 	3170 	1287.2664 	1389.4196 	1733.613 	4296.64 
ALB,TOTAL,TOTAL,EUR_T,TOTAL,CY	2000 	2000 	2250 	1880 	2253.1 	2470 	2470 	1931 	2500 	1900 	3170 	1287.2664 	1389.4196 	1733.613 	4296.64 
ALB,TOTAL,TOTAL,TPW,CY,CY	628.2137 	570.684 	573.1 	511.2 	397.817 	358.8 	317.5 	241.9 	231 	216.8 	240 	620.1 	504.8 	394.9 	235.9 
ALB,TOTAL,TOTAL,TPW,EU,CY	628.2137 	570.684 	573.1 	511.2 	397.817 	358.8 	317.5 	241.9 	231 	216.8 	240 	620.1 	504.8 	394.9 	235.9 
ALB,TOTAL,TOTAL,TPW,TOTAL,CY	628.2137 	570.684 	573.1 	511.2 	397.817 	358.8 	317.5 	241.9 	231 	216.8 	240 	620.1 	504.8 	394.9 	235.9 
AMB,FRE,HCN,EUR,CY,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE,HCN,EUR,EU,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE,HCN,EUR,TOTAL,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE,HCN,EUR_T,CY,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE,HCN,EUR_T,EU,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE,HCN,EUR_T,TOTAL,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,CY,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,EU,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,TOTAL,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,CY,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,EU,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,TOTAL,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,CY,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,EU,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,TOTAL,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,CY,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,EU,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,TOTAL,CY	9.7007 	10.003 	6.4 	8 	7.293 	8.6 	12.2 	8.5 	5.5 	5 	4.5 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,CY,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,EU,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,TOTAL,CY	98559.112 	140042 	87488 	96640 	100477.8489 	116165.36 	164822 	124729 	78485 	75240 	51660 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR_T,CY,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR_T,EU,CY	10160 	14000 	13670 	12080 	13777.3 	13507.6 	13510 	14674 	14270 	15048 	11480 	: 	: 	: 	: 
