species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 
EPK,FRE,HCN,EUR_T,CY,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,HCN,EUR_T,EU,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,HCN,EUR_T,TOTAL,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,HCN,TPW,CY,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,HCN,TPW,EU,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,HCN,TPW,TOTAL,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,EUR,CY,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,EUR,EU,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,EUR,TOTAL,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,EUR_T,CY,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,EUR_T,EU,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,EUR_T,TOTAL,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,TPW,CY,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,TPW,EU,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE,TOTAL,TPW,TOTAL,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,EUR,CY,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,EUR,EU,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,EUR,TOTAL,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,EUR_T,CY,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,EUR_T,EU,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,EUR_T,TOTAL,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,TPW,CY,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,TPW,EU,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,HCN,TPW,TOTAL,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,EUR,CY,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,EUR,EU,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,EUR,TOTAL,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,EUR_T,CY,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,EUR_T,EU,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,EUR_T,TOTAL,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,TPW,CY,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,TPW,EU,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,FRE_WHL,TOTAL,TPW,TOTAL,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,EUR,CY,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,EUR,EU,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,EUR,TOTAL,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,EUR_T,CY,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,EUR_T,EU,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,EUR_T,TOTAL,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,TPW,CY,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,TPW,EU,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,HCN,TPW,TOTAL,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,EUR,CY,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,EUR,EU,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,EUR,TOTAL,CY	3841.089 	1664 	: 	3580 	2902.9966 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,EUR_T,CY,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,EUR_T,EU,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,EUR_T,TOTAL,CY	17310 	16000 	: 	17900 	14963.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,TPW,CY,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,TPW,EU,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EPK,TOTAL,TOTAL,TPW,TOTAL,CY	0.2219 	0.104 	: 	0.2 	0.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,HCN,EUR,CY,CY	5639351.8726 	8794065 	7684710.5385 	7415696.5229 	7479106.9201 	7227859.62 	8490659 	7963789.7 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE,HCN,EUR,EU,CY	5639351.8726 	8794065 	7684710.5385 	7415696.5229 	7479106.9201 	7227859.62 	8490659 	7963789.7 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE,HCN,EUR,TOTAL,CY	5639351.8726 	8794065 	7684710.5385 	7415696.5229 	7479106.9201 	7227859.62 	8490659 	7963789.7 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE,HCN,EUR_T,CY,CY	4514.6372 	5702.4151 	5266.0252 	5154.0843 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE,HCN,EUR_T,EU,CY	4514.6372 	5702.4151 	5266.0252 	5154.0843 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE,HCN,EUR_T,TOTAL,CY	4514.6372 	5702.4151 	5266.0252 	5154.0843 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE,HCN,TPW,CY,CY	1249.1263 	1542.165 	1459.3 	1438.8 	1237.596 	1149.2 	1260.7 	1114.6 	1378.3805 	1309.2 	1867.7 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE,HCN,TPW,EU,CY	1249.1263 	1542.165 	1459.3 	1438.8 	1237.596 	1149.2 	1260.7 	1114.6 	1378.3805 	1309.2 	1867.7 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE,HCN,TPW,TOTAL,CY	1249.1263 	1542.165 	1459.3 	1438.8 	1237.596 	1149.2 	1260.7 	1114.6 	1378.3805 	1309.2 	1867.7 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE,TOTAL,EUR,CY,CY	5639910.5326 	8794065 	7752319.7589 	7525175.1997 	7546193.0822 	7353649.0321 	8735135.0226 	8302461.539 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE,TOTAL,EUR,EU,CY	5639910.5326 	8794065 	7752319.7589 	7525175.1997 	7546193.0822 	7353649.0321 	8735135.0226 	8302461.539 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE,TOTAL,EUR,TOTAL,CY	5639910.5326 	8794065 	7752319.7589 	7525175.1997 	7546193.0822 	7353649.0321 	8735135.0226 	8302461.539 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE,TOTAL,EUR_T,CY,CY	4416.3264 	5605.5998 	5231.338 	5100.7762 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE,TOTAL,EUR_T,EU,CY	4416.3264 	5605.5998 	5231.338 	5100.7762 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE,TOTAL,EUR_T,TOTAL,CY	4416.3264 	5605.5998 	5231.338 	5100.7762 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE,TOTAL,TPW,CY,CY	1277.0593 	1568.8 	1481.9 	1475.3 	1248.697 	1169.2 	1297 	1162 	1378.3805 	1309.2 	1867.7 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE,TOTAL,TPW,EU,CY	1277.0593 	1568.8 	1481.9 	1475.3 	1248.697 	1169.2 	1297 	1162 	1378.3805 	1309.2 	1867.7 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE,TOTAL,TPW,TOTAL,CY	1277.0593 	1568.8 	1481.9 	1475.3 	1248.697 	1169.2 	1297 	1162 	1378.3805 	1309.2 	1867.7 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE,WST,EUR,CY,CY	558.66 	0 	67800 	109500 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,WST,EUR,EU,CY	558.66 	0 	67800 	109500 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,WST,EUR,TOTAL,CY	558.66 	0 	67800 	109500 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,WST,EUR_T,CY,CY	20 	0 	3000 	3000 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,WST,EUR_T,EU,CY	20 	0 	3000 	3000 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,WST,EUR_T,TOTAL,CY	20 	0 	3000 	3000 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,WST,TPW,CY,CY	27.933 	26.635 	22.6 	36.5 	11.101 	20 	36.3 	47.4 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,WST,TPW,EU,CY	27.933 	26.635 	22.6 	36.5 	11.101 	20 	36.3 	47.4 	: 	: 	: 	: 	: 	: 	: 
F00,FRE,WST,TPW,TOTAL,CY	27.933 	26.635 	22.6 	36.5 	11.101 	20 	36.3 	47.4 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUH,HCN,EUR,CY,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1403703 	: 	: 	: 	: 
F00,FRE_GUH,HCN,EUR,EU,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1403703 	: 	: 	: 	: 
F00,FRE_GUH,HCN,EUR,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1403703 	: 	: 	: 	: 
F00,FRE_GUH,HCN,EUR_T,CY,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10610 	: 	: 	: 	: 
F00,FRE_GUH,HCN,EUR_T,EU,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10610 	: 	: 	: 	: 
F00,FRE_GUH,HCN,EUR_T,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10610 	: 	: 	: 	: 
F00,FRE_GUH,HCN,TPW,CY,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.3 	: 	: 	: 	: 
F00,FRE_GUH,HCN,TPW,EU,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.3 	: 	: 	: 	: 
F00,FRE_GUH,HCN,TPW,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.3 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,EUR,CY,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1403703 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,EUR,EU,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1403703 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,EUR,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1403703 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,EUR_T,CY,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10610 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,EUR_T,EU,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10610 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,EUR_T,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10610 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,TPW,CY,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.3 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,TPW,EU,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.3 	: 	: 	: 	: 
F00,FRE_GUH,TOTAL,TPW,TOTAL,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	132.3 	: 	: 	: 	: 
F00,FRE_GUT,HCN,EUR,CY,CY	: 	: 	: 	465552.5 	667757.8605 	515547.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,HCN,EUR,EU,CY	: 	: 	: 	465552.5 	667757.8605 	515547.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,HCN,EUR,TOTAL,CY	: 	: 	: 	465552.5 	667757.8605 	515547.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,HCN,EUR_T,CY,CY	: 	: 	: 	6856.4433 	8843.7722 	7515.2748 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,HCN,EUR_T,EU,CY	: 	: 	: 	6856.4433 	8843.7722 	7515.2748 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,HCN,EUR_T,TOTAL,CY	: 	: 	: 	6856.4433 	8843.7722 	7515.2748 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,HCN,TPW,CY,CY	: 	: 	: 	67.9 	75.506 	68.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,HCN,TPW,EU,CY	: 	: 	: 	67.9 	75.506 	68.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,HCN,TPW,TOTAL,CY	: 	: 	: 	67.9 	75.506 	68.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,EUR,CY,CY	: 	: 	: 	465552.5 	667757.8605 	515547.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,EUR,EU,CY	: 	: 	: 	465552.5 	667757.8605 	515547.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,EUR,TOTAL,CY	: 	: 	: 	465552.5 	667757.8605 	515547.85 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,EUR_T,CY,CY	: 	: 	: 	6856.4433 	8843.7722 	7515.2748 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,EUR_T,EU,CY	: 	: 	: 	6856.4433 	8843.7722 	7515.2748 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,EUR_T,TOTAL,CY	: 	: 	: 	6856.4433 	8843.7722 	7515.2748 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,TPW,CY,CY	: 	: 	: 	67.9 	75.506 	68.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,TPW,EU,CY	: 	: 	: 	67.9 	75.506 	68.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_GUT,TOTAL,TPW,TOTAL,CY	: 	: 	: 	67.9 	75.506 	68.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,HCN,EUR,CY,CY	5639351.8726 	8794065 	7684710.5385 	6950110.2863 	6811349.0596 	6712311.77 	8490659 	7963789.7 	10105432.9438 	8576586.7 	11332573 	5762857.1636 	7316035.5755 	5724563.5629 	3482993.8988 
F00,FRE_WHL,HCN,EUR,EU,CY	5639351.8726 	8794065 	7684710.5385 	6950110.2863 	6811349.0596 	6712311.77 	8490659 	7963789.7 	10105432.9438 	8576586.7 	11332573 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE_WHL,HCN,EUR,TOTAL,CY	5639351.8726 	8794065 	7684710.5385 	6950110.2863 	6811349.0596 	6712311.77 	8490659 	7963789.7 	10105432.9438 	8576586.7 	11332573 	5762857.1636 	7316035.5755 	5724563.5629 	3482993.8988 
F00,FRE_WHL,HCN,EUR_T,CY,CY	4514.6372 	5702.4151 	5266.0252 	5069.7427 	5861.2922 	6211.6526 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6530.2368 	2854.1712 	3855.6182 	4307.0977 	4501.1552 
F00,FRE_WHL,HCN,EUR_T,EU,CY	4514.6372 	5702.4151 	5266.0252 	5069.7427 	5861.2922 	6211.6526 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6530.2368 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE_WHL,HCN,EUR_T,TOTAL,CY	4514.6372 	5702.4151 	5266.0252 	5069.7427 	5861.2922 	6211.6526 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6530.2368 	2854.1712 	3855.6182 	4307.0977 	4501.1552 
F00,FRE_WHL,HCN,TPW,CY,CY	1249.1263 	1542.165 	1459.3 	1370.9 	1162.09 	1080.6 	1260.7 	1114.6 	1378.3805 	1309.2 	1735.4 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE_WHL,HCN,TPW,EU,CY	1249.1263 	1542.165 	1459.3 	1370.9 	1162.09 	1080.6 	1260.7 	1114.6 	1378.3805 	1309.2 	1735.4 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE_WHL,HCN,TPW,TOTAL,CY	1249.1263 	1542.165 	1459.3 	1370.9 	1162.09 	1080.6 	1260.7 	1114.6 	1378.3805 	1309.2 	1735.4 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE_WHL,TOTAL,EUR,CY,CY	5639910.5326 	8794065 	7752319.7589 	7059588.8092 	6876415.2644 	6836544.8215 	8735135.0226 	8302461.539 	10105432.9438 	8576586.7 	11332573 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE_WHL,TOTAL,EUR,EU,CY	5639910.5326 	8794065 	7752319.7589 	7059588.8092 	6876415.2644 	6836544.8215 	8735135.0226 	8302461.539 	10105432.9438 	8576586.7 	11332573 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE_WHL,TOTAL,EUR,TOTAL,CY	5639910.5326 	8794065 	7752319.7589 	7059588.8092 	6876415.2644 	6836544.8215 	8735135.0226 	8302461.539 	10105432.9438 	8576586.7 	11332573 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,FRE_WHL,TOTAL,EUR_T,CY,CY	4416.3264 	5605.5998 	5231.338 	5016.05 	5861.2922 	6211.6526 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6530.2368 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE_WHL,TOTAL,EUR_T,EU,CY	4416.3264 	5605.5998 	5231.338 	5016.05 	5861.2922 	6211.6526 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6530.2368 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE_WHL,TOTAL,EUR_T,TOTAL,CY	4416.3264 	5605.5998 	5231.338 	5016.05 	5861.2922 	6211.6526 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6530.2368 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,FRE_WHL,TOTAL,TPW,CY,CY	1277.0593 	1568.8 	1481.9 	1407.4 	1173.191 	1100.6 	1297 	1162 	1378.3805 	1309.2 	1735.4 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE_WHL,TOTAL,TPW,EU,CY	1277.0593 	1568.8 	1481.9 	1407.4 	1173.191 	1100.6 	1297 	1162 	1378.3805 	1309.2 	1735.4 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE_WHL,TOTAL,TPW,TOTAL,CY	1277.0593 	1568.8 	1481.9 	1407.4 	1173.191 	1100.6 	1297 	1162 	1378.3805 	1309.2 	1735.4 	2019.1 	1897.5 	1329.1 	773.8 
F00,FRE_WHL,WST,EUR,CY,CY	558.66 	0 	67800 	109500 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,WST,EUR,EU,CY	558.66 	0 	67800 	109500 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,WST,EUR,TOTAL,CY	558.66 	0 	67800 	109500 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,WST,EUR_T,CY,CY	20 	0 	3000 	3000 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,WST,EUR_T,EU,CY	20 	0 	3000 	3000 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,WST,EUR_T,TOTAL,CY	20 	0 	3000 	3000 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,WST,TPW,CY,CY	27.933 	26.635 	22.6 	36.5 	11.101 	20 	36.3 	47.4 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,WST,TPW,EU,CY	27.933 	26.635 	22.6 	36.5 	11.101 	20 	36.3 	47.4 	: 	: 	: 	: 	: 	: 	: 
F00,FRE_WHL,WST,TPW,TOTAL,CY	27.933 	26.635 	22.6 	36.5 	11.101 	20 	36.3 	47.4 	: 	: 	: 	: 	: 	: 	: 
F00,TOTAL,HCN,EUR,CY,CY	5639351.8726 	8794065 	7684710.5385 	7415696.5229 	7479106.9201 	7227859.62 	8490659 	7963789.7 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,TOTAL,HCN,EUR,EU,CY	5639351.8726 	8794065 	7684710.5385 	7415696.5229 	7479106.9201 	7227859.62 	8490659 	7963789.7 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,TOTAL,HCN,EUR,TOTAL,CY	5639351.8726 	8794065 	7684710.5385 	7415696.5229 	7479106.9201 	7227859.62 	8490659 	7963789.7 	10105432.9438 	8576586.7 	12736276 	5762857.1636 	7316035.5755 	5724563.5548 	3483114.1863 
F00,TOTAL,HCN,EUR_T,CY,CY	4514.6372 	5702.4151 	5266.0252 	5154.0843 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,TOTAL,HCN,EUR_T,EU,CY	4514.6372 	5702.4151 	5266.0252 	5154.0843 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,TOTAL,HCN,EUR_T,TOTAL,CY	4514.6372 	5702.4151 	5266.0252 	5154.0843 	6043.254 	6289.4706 	6734.8767 	7144.9755 	7331.3815 	6551.0134 	6819.2301 	2854.1712 	3855.6182 	4307.0977 	4501.3107 
F00,TOTAL,HCN,TPW,CY,CY	1249.1263 	1542.165 	1459.3 	1438.8 	1237.596 	1149.2 	1260.7 	1114.6 	1378.3805 	1309.2 	1867.7 	2019.1 	1897.5 	1329.1 	773.8 
F00,TOTAL,HCN,TPW,EU,CY	1249.1263 	1542.165 	1459.3 	1438.8 	1237.596 	1149.2 	1260.7 	1114.6 	1378.3805 	1309.2 	1867.7 	2019.1 	1897.5 	1329.1 	773.8 
