species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ABK,TOTAL,HCN,EUR_T,EU,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR_T,LT,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,EUR_T,TOTAL,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,EU,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,LT,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,HCN,TPW,TOTAL,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,EU,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,LT,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR,TOTAL,LT	: 	37.4 	0 	: 	: 	41.0015 	28.3857 	196.9416 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,EU,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,LT,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,EUR_T,TOTAL,LT	: 	110 	: 	: 	: 	350.4402 	350.4402 	1969.4161 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,EU,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,LT,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ABK,TOTAL,TOTAL,TPW,TOTAL,LT	: 	0.34 	0 	: 	: 	0.117 	0.081 	0.1 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,EUR,EU,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,EUR,LT,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,TPW,EU,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,TPW,LT,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,HCN,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,EUR,EU,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,EUR,LT,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	24101.5404 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	868.8684 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,TPW,EU,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,TPW,LT,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO,TOTAL,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	27.739 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,EUR,EU,LT	: 	: 	: 	: 	: 	: 	13869.3237 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,EUR,LT,LT	: 	: 	: 	: 	: 	: 	13869.3237 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,EUR,TOTAL,LT	: 	: 	: 	: 	: 	: 	13869.3237 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,EUR_T,EU,LT	: 	: 	: 	: 	: 	: 	1187.4421 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,EUR_T,LT,LT	: 	: 	: 	: 	: 	: 	1187.4421 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,EUR_T,TOTAL,LT	: 	: 	: 	: 	: 	: 	1187.4421 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,TPW,EU,LT	: 	: 	: 	: 	: 	: 	11.68 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,TPW,LT,LT	: 	: 	: 	: 	: 	: 	11.68 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,HCN,TPW,TOTAL,LT	: 	: 	: 	: 	: 	: 	11.68 	: 	: 	: 	: 	: 	: 	: 
ALC,FRO_FIL,TOTAL,EUR,EU,LT	: 	: 	: 	: 	: 	: 	13869.3237 	: 	: 	: 	: 	: 	: 	: 
