species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
AES,TOTAL,HCN,EUR,TOTAL,DE	: 	: 	: 	0 	1269.66 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,HCN,EUR_T,DE,DE	: 	: 	: 	: 	4232.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,HCN,EUR_T,EU,DE	: 	: 	: 	: 	4232.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,HCN,EUR_T,TOTAL,DE	: 	: 	: 	: 	4232.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,HCN,TPW,DE,DE	: 	: 	: 	0 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,HCN,TPW,EU,DE	: 	: 	: 	0 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,HCN,TPW,TOTAL,DE	: 	: 	: 	0 	0.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,EUR,DE,DE	: 	: 	: 	: 	6.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,EUR,EU,DE	: 	: 	: 	: 	6.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,EUR,TOTAL,DE	: 	: 	: 	: 	6.63 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,EUR_T,DE,DE	: 	: 	: 	: 	13.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,EUR_T,EU,DE	: 	: 	: 	: 	13.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,EUR_T,TOTAL,DE	: 	: 	: 	: 	13.26 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,TPW,DE,DE	: 	: 	: 	: 	0.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,TPW,EU,DE	: 	: 	: 	: 	0.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,IND,TPW,TOTAL,DE	: 	: 	: 	: 	0.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,TOTAL,EUR,DE,DE	: 	: 	: 	0 	1276.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,TOTAL,EUR,EU,DE	: 	: 	: 	0 	1276.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,TOTAL,EUR,TOTAL,DE	: 	: 	: 	0 	1276.29 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,TOTAL,EUR_T,DE,DE	: 	: 	: 	: 	1595.3625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AES,TOTAL,TOTAL,EUR_T,EU,DE	: 	: 	: 	: 	1595.3625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
