species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
ANF,FRE,HCN,EUR,BE,BE	3777407 	5279829.1 	4386941.1 	3873636 	3594110.4 	5076284.4 	5379289.4 	4208130.1 	3312954 	2737665.5 	3323327.2 	4517936.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR,DE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR,EU,BE	3800315.8 	5287279.2 	4397934.7 	3875772 	3595078 	5076284.4 	5379289.4 	4208130.1 	3313848.2 	2738016.7 	3323327.2 	4517936.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR,NL,BE	: 	: 	: 	2136 	967.6 	: 	: 	: 	894.2 	351.2 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR,TOTAL,BE	3800315.8 	5287279.2 	4397934.7 	3875772 	3595078 	5076284.4 	5379289.4 	4208130.1 	3313848.2 	2738016.7 	3323327.2 	4517936.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR,UK,BE	22908.8 	7450.1 	10993.6 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR_T,BE,BE	11343.5646 	10370.9077 	10349 	10680 	11052 	9765.8415 	9279.4366 	9813.7362 	9687 	10147.0182 	10832.2269 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR_T,EU,BE	11357.7878 	10371.2813 	10355.3913 	10671.1784 	11048.1807 	9765.8415 	9279.4366 	9813.7362 	9683.9515 	10144.5598 	10832.2269 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR_T,NL,BE	: 	: 	: 	4272 	4838 	: 	: 	: 	4471 	3512 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR_T,TOTAL,BE	11357.7878 	10371.2813 	10355.3913 	10671.1784 	11048.1807 	9765.8415 	9279.4366 	9813.7362 	9683.9515 	10144.5598 	10832.2269 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,EUR_T,UK,BE	14318 	10643 	13742 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,TPW,BE,BE	333 	509.1 	423.9 	362.7 	325.2 	519.8 	579.7 	428.8 	342 	269.8 	306.8 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,TPW,DE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,TPW,EU,BE	334.6 	509.8 	424.7 	363.2 	325.4 	519.8 	579.7 	428.8 	342.2 	269.9 	306.8 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,TPW,NL,BE	: 	: 	: 	0.5 	0.2 	: 	: 	: 	0.2 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,TPW,TOTAL,BE	334.6 	509.8 	424.7 	363.2 	325.4 	519.8 	579.7 	428.8 	342.2 	269.9 	306.8 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,HCN,TPW,UK,BE	1.6 	0.7 	0.8 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR,BE,BE	3777409 	5279829.1 	4386941.1 	3873636 	3594110.4 	5076284.4 	5379289.4 	4208130.1 	3312954 	2737665.5 	3323327.2 	4517936.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR,DE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR,EU,BE	3800317.8 	5287279.2 	4397934.7 	3875772 	3595078 	5076284.4 	5379289.4 	4208130.1 	3313848.2 	2738016.7 	3323327.2 	4517936.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR,NL,BE	: 	: 	: 	2136 	967.6 	: 	: 	: 	894.2 	351.2 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR,TOTAL,BE	3800317.8 	5287279.2 	4397934.7 	3875772 	3595078 	5076284.4 	5379289.4 	4208130.1 	3313848.2 	2738016.7 	3323327.2 	4517936.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR,UK,BE	22908.8 	7450.1 	10993.6 	: 	: 	: 	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR_T,BE,BE	11340.1651 	10370.9077 	10349 	10680 	11052 	9765.8415 	9279.4366 	9813.7362 	9687 	10147.0182 	10832.2269 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR_T,EU,BE	11354.4004 	10371.2813 	10355.3913 	10671.1784 	11048.1807 	9765.8415 	9279.4366 	9813.7362 	9683.9515 	10144.5598 	10832.2269 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR_T,NL,BE	: 	: 	: 	4272 	4838 	: 	: 	: 	4471 	3512 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR_T,TOTAL,BE	11354.4004 	10371.2813 	10355.3913 	10671.1784 	11048.1807 	9765.8415 	9279.4366 	9813.7362 	9683.9515 	10144.5598 	10832.2269 	10348 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,EUR_T,UK,BE	14318 	10643 	13742 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,TPW,BE,BE	333.1 	509.1 	423.9 	362.7 	325.2 	519.8 	579.7 	428.8 	342 	269.8 	306.8 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,TPW,DE,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,TPW,EU,BE	334.7 	509.8 	424.7 	363.2 	325.4 	519.8 	579.7 	428.8 	342.2 	269.9 	306.8 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,TPW,NL,BE	: 	: 	: 	0.5 	0.2 	: 	: 	: 	0.2 	0.1 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ANF,FRE,TOTAL,TPW,TOTAL,BE	334.7 	509.8 	424.7 	363.2 	325.4 	519.8 	579.7 	428.8 	342.2 	269.9 	306.8 	436.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
