species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ANE,FRE_NSP,TOTAL,EUR_T,EU,BG	: 	255.6499 e	511.2997 	: 	562.4297 	: 	511.2997 	0 	2684.3236 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,EUR_T,TOTAL,BG	: 	255.6499 e	511.2997 	: 	562.4297 	: 	511.2997 	0 	2684.3236 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,TPW,BG,BG	: 	0.15 e	0.03 	: 	1.5 	: 	0.4 	0.4 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,TPW,EU,BG	: 	0.15 e	0.03 	: 	1.5 	: 	0.4 	0.4 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_NSP,TOTAL,TPW,TOTAL,BG	: 	0.15 e	0.03 	: 	1.5 	: 	0.4 	0.4 	0.1 	: 	: 	: 	: 	: 
ANE,FRE_WHL,HCN,EUR,BG,BG	5424.2658 	3616.0066 e	59271.6893 	8564.27 	206262.9107 	5229.5223 	5910.6246 	12206.7693 	48328.5616 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE_WHL,HCN,EUR,EU,BG	5424.2658 	3616.0066 e	59271.6893 	8564.27 	206262.9107 	5229.5223 	5910.6246 	12206.7693 	48328.5616 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE_WHL,HCN,EUR,TOTAL,BG	5424.2658 	3616.0066 e	59271.6893 	8564.27 	206262.9107 	5229.5223 	5910.6246 	12206.7693 	48328.5616 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE_WHL,HCN,EUR_T,BG,BG	1140.1984 	1053.2774 e	1109.5204 	685.1416 	557.3167 	526.6387 	695.3676 	705.5936 	751.6106 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE_WHL,HCN,EUR_T,EU,BG	1140.1984 	1053.2774 e	1109.5204 	685.1416 	557.3167 	526.6387 	695.3676 	705.5936 	751.6106 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE_WHL,HCN,EUR_T,TOTAL,BG	1140.1984 	1053.2774 e	1109.5204 	685.1416 	557.3167 	526.6387 	695.3676 	705.5936 	751.6106 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE_WHL,HCN,TPW,BG,BG	4.7573 	3.4331 e	53.421 	12.5 	370.1 	9.93 	8.5 	17.3 	64.3 	42.3 	28 	60.4 	3.3 	: 
ANE,FRE_WHL,HCN,TPW,EU,BG	4.7573 	3.4331 e	53.421 	12.5 	370.1 	9.93 	8.5 	17.3 	64.3 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE_WHL,HCN,TPW,TOTAL,BG	4.7573 	3.4331 e	53.421 	12.5 	370.1 	9.93 	8.5 	17.3 	64.3 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE_WHL,TOTAL,EUR,BG,BG	5424.2658 	3616.0066 e	59271.6893 	8564.27 	206262.9107 	5229.5223 	5910.6246 	12206.7693 	48328.5616 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE_WHL,TOTAL,EUR,EU,BG	5424.2658 	3616.0066 e	59271.6893 	8564.27 	206262.9107 	5229.5223 	5910.6246 	12206.7693 	48328.5616 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE_WHL,TOTAL,EUR,TOTAL,BG	5424.2658 	3616.0066 e	59271.6893 	8564.27 	206262.9107 	5229.5223 	5910.6246 	12206.7693 	48328.5616 	35037.3269 	12741.5904 	31808.9775 	1578.0204 	12241.1289 
ANE,FRE_WHL,TOTAL,EUR_T,BG,BG	1140.1984 	1053.2774 e	1109.5204 	685.1416 	557.3167 	526.6387 	695.3676 	705.5936 	751.6106 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE_WHL,TOTAL,EUR_T,EU,BG	1140.1984 	1053.2774 e	1109.5204 	685.1416 	557.3167 	526.6387 	695.3676 	705.5936 	751.6106 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE_WHL,TOTAL,EUR_T,TOTAL,BG	1140.1984 	1053.2774 e	1109.5204 	685.1416 	557.3167 	526.6387 	695.3676 	705.5936 	751.6106 	828.3056 	455.0568 	526.6387 	478.188 	856.023 
ANE,FRE_WHL,TOTAL,TPW,BG,BG	4.7573 	3.4331 e	53.421 	12.5 	370.1 	9.93 	8.5 	17.3 	64.3 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE_WHL,TOTAL,TPW,EU,BG	4.7573 	3.4331 e	53.421 	12.5 	370.1 	9.93 	8.5 	17.3 	64.3 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRE_WHL,TOTAL,TPW,TOTAL,BG	4.7573 	3.4331 e	53.421 	12.5 	370.1 	9.93 	8.5 	17.3 	64.3 	42.3 	28 	60.4 	3.3 	14.3 
ANE,FRO,HCN,EUR,BG,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO,HCN,EUR,EU,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO,HCN,EUR,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO,HCN,EUR_T,BG,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO,HCN,EUR_T,EU,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO,HCN,EUR_T,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO,HCN,TPW,BG,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO,HCN,TPW,EU,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO,HCN,TPW,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,EUR,BG,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,EUR,EU,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,EUR,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,EUR_T,BG,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,EUR_T,EU,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,EUR_T,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	409.0398 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,TPW,BG,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,TPW,EU,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO,TOTAL,TPW,TOTAL,BG	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,HCN,EUR,BG,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
ANE,FRO_NSP,HCN,EUR,EU,BG	: 	: 	: 	: 	: 	: 	: 	122.7119 	: 	: 	: 	: 	: 	: 
