species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
ALB,FRE_WHL,HCN,TPW,TOTAL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,EL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,EU,EL	2162183.76 p	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,TOTAL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR_T,EL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR_T,EU,EL	3964.4 p	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR_T,TOTAL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,TPW,EL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,TPW,EU,EL	545.4 p	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,TPW,TOTAL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,EUR,EL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,EUR,EU,EL	2162183.76 p	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,EUR,TOTAL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,EUR_T,EL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,EUR_T,EU,EL	3964.4 p	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,EUR_T,TOTAL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,TPW,EL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,TPW,EU,EL	545.4 p	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,HCN,TPW,TOTAL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,EUR,EL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,EUR,EU,EL	2162183.76 p	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,EUR,TOTAL,EL	2162183.76 	2395875 	4134866.25 	1560210 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,EUR_T,EL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,EUR_T,EU,EL	3964.4 p	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,EUR_T,TOTAL,EL	3964.4 	3750 	3362.5 	3000 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,TPW,EL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,TPW,EU,EL	545.4 p	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,TOTAL,TOTAL,TPW,TOTAL,EL	545.4 	638.9 	1229.7 	520.07 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,EUR,EL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,EUR,EU,EL	4697631.28 p	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,EUR,TOTAL,EL	4697631.28 	4692005.76 	4475410.48 	3557160 	3898865 	4463190.71 	4043551.26 	2505520 	3555307.55 	3445933.15 	3085927.74 	3201912.5 	3161865.39 	2891790.19 	2027897.74 	1744335 	2067814.08 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,EUR_T,EL,EL	9555.8 	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,EUR_T,EU,EL	9555.8 p	9250.8 	9560.8 	9000 	8500 	7667 	7833 	8000 	8083 	7667 	8083 	7750 	7167 	6917 	6833 	6750 	6417 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
