species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 
ALB,FRE_WHL,HCN,TPW,IT,IT	1044.1 p	1348.3 	1491.1 	1602.3 	1353.2 	615.4 	1153.6 	2503.9 	1876.9 	2799.2 	2097.5 	4088.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,HCN,TPW,TOTAL,IT	1044.1 p	1348.3 	1491.1 	1602.3 	1353.2 	615.4 	1153.6 	2503.9 	1876.9 	2799.2 	2097.5 	4088.6 	4312 	2398 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,EU,IT	3826626.5 p	4339099.06 	4974607.82 	5583695.04 	5401974.4 	3099339.02 	5099258.08 	10012344.93 	9200939.18 	14284037.68 	10752624 	18549569.34 	14828493.68 	10196670.088 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,IT,IT	3826626.5 p	4339099.06 	4974607.82 	5583695.04 	5401974.4 	3099339.02 	5099258.08 	10012344.93 	9200939.18 	14284037.68 	10752624 	18549569.34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR,TOTAL,IT	3826626.5 p	4339099.06 	4974607.82 	5583695.04 	5401974.4 	3099339.02 	5099258.08 	10012344.93 	9200939.18 	14284037.68 	10752624 	18549569.34 	14828493.68 	10196670.088 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR_T,EU,IT	3665 p	3218.2 	3336.2 	3484.8 	3992 	5036.3 	4420.3 	3998.7 	4902.2 	5102.9 	5126.4 	4536.9 	3438.89 	4252.156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR_T,IT,IT	3665 p	3218.2 	3336.2 	3484.8 	3992 	5036.3 	4420.3 	3998.7 	4902.2 	5102.9 	5126.4 	4536.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,EUR_T,TOTAL,IT	3665 p	3218.2 	3336.2 	3484.8 	3992 	5036.3 	4420.3 	3998.7 	4902.2 	5102.9 	5126.4 	4536.9 	3438.89 	4252.156 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,TPW,EU,IT	1044.1 p	1348.3 	1491.1 	1602.3 	1353.2 	615.4 	1153.6 	2503.9 	1876.9 	2799.2 	2097.5 	4088.6 	4312 	2398 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,TPW,IT,IT	1044.1 p	1348.3 	1491.1 	1602.3 	1353.2 	615.4 	1153.6 	2503.9 	1876.9 	2799.2 	2097.5 	4088.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ALB,FRE_WHL,TOTAL,TPW,TOTAL,IT	1044.1 p	1348.3 	1491.1 	1602.3 	1353.2 	615.4 	1153.6 	2503.9 	1876.9 	2799.2 	2097.5 	4088.6 	4312 	2398 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
