species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
CDZ,TOTAL,TOTAL,EUR,EU,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	750 	: 	: 	: 	171.5517 	2590.4304 	: 	: 	418425 	28944 
CDZ,TOTAL,TOTAL,EUR,TOTAL,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	750 	: 	: 	: 	171.5517 	2590.4304 	: 	: 	418425 	28944 
CDZ,TOTAL,TOTAL,EUR_T,EU,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1500 	: 	: 	: 	114.3678 	4317.3841 	: 	: 	1445 	2495 
CDZ,TOTAL,TOTAL,EUR_T,TOTAL,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1500 	: 	: 	: 	114.3678 	4317.3841 	: 	: 	1445 	2495 
CDZ,TOTAL,TOTAL,TPW,EU,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	: 	: 	: 	1.5 	0.6 	: 	: 	290 	12 
CDZ,TOTAL,TOTAL,TPW,TOTAL,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.5 	: 	: 	: 	1.5 	0.6 	: 	: 	290 	12 
COD,FRE,HCN,EUR,EU,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,HCN,EUR,FI,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,HCN,EUR,TOTAL,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,HCN,EUR_T,EU,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,HCN,EUR_T,FI,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,HCN,EUR_T,TOTAL,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,HCN,TPW,EU,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,HCN,TPW,FI,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,HCN,TPW,TOTAL,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,EUR,EU,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,EUR,FI,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,EUR,TOTAL,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,EUR_T,EU,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,EUR_T,FI,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,EUR_T,TOTAL,FI	2856.62 	3170 	2800 	3500 	2710 	3000 	2500 	2561.7 	2495.9 	2945.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,TPW,EU,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,TPW,FI,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE,TOTAL,TPW,TOTAL,FI	42.29 	190.63 	61.4 	66.8 	60.8 	73.889 	5.7 	4.2 	1 	10.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,HCN,EUR,EU,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,HCN,EUR,FI,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
COD,FRE_GUT,HCN,EUR,TOTAL,FI	120806.4598 	604297.1 	171920 	233800 	164768 	221667 	14250 	10759.14 	2495.9 	30042.06 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
