species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 
F01,FRE_WHL,IND,EUR,EU,FI	17557968.9348 	18393995.6769 	13930426.5863 	12117978.824 	12757458.605 	15726799.8945 	10074065.61 	8557139.42 	6266450 	5365153.79 	4854988.8 	5298021 	7096979.794 	3958778.9782 	5094360.1311 	5208179.8131 	1313087.9662 	: 	: 	: 	: 	: 
F01,FRE_WHL,IND,EUR,FI,FI	17557968.9348 	18393995.6769 	13930426.5863 	12117978.824 	12757458.605 	15726799.8945 	10074065.61 	8557139.42 	6266450 	5365153.79 	4854988.8 	5298021 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,IND,EUR,TOTAL,FI	17557968.9348 	18393995.6769 	13930426.5863 	12117978.824 	12757458.605 	15726799.8945 	10074065.61 	8557139.42 	6266450 	5365153.79 	4854988.8 	5298021 	7096979.794 	3958778.9782 	5094360.1311 	5208179.8131 	1313087.9662 	: 	: 	: 	: 	: 
F01,FRE_WHL,IND,EUR_T,EU,FI	180.3521 	177.2071 	175.3799 	163.1407 	197.9358 	218.546 	173.598 	164.7035 	111.1901 	94.4165 	99.5379 	90 	109.1853 	78.5039 	82.3064 	98.9417 	19.7457 	: 	: 	: 	: 	: 
F01,FRE_WHL,IND,EUR_T,FI,FI	180.3521 	177.2071 	175.3799 	163.1407 	197.9358 	218.546 	173.598 	164.7035 	111.1901 	94.4165 	99.5379 	90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,IND,EUR_T,TOTAL,FI	180.3521 	177.2071 	175.3799 	163.1407 	197.9358 	218.546 	173.598 	164.7035 	111.1901 	94.4165 	99.5379 	90 	109.1853 	78.5039 	82.3064 	98.9417 	19.7457 	: 	: 	: 	: 	: 
F01,FRE_WHL,IND,TPW,EU,FI	97353.82 	103799.41 	79430 	74279.3 	64452.5 	71961.063 	58031 	51954.8 	56358 	56824.3 	48775.3 	58866.9 	64999.4 	50427.8 	61895.1 	52638.9 	66499.9 	58960.8 	68937.6 	: 	: 	: 
F01,FRE_WHL,IND,TPW,FI,FI	97353.82 	103799.41 	79430 	74279.3 	64452.5 	71961.063 	58031 	51954.8 	56358 	56824.3 	48775.3 	58866.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,IND,TPW,TOTAL,FI	97353.82 	103799.41 	79430 	74279.3 	64452.5 	71961.063 	58031 	51954.8 	56358 	56824.3 	48775.3 	58866.9 	64999.4 	50427.8 	61895.1 	52638.9 	66499.9 	58960.8 	68937.6 	: 	: 	: 
F01,FRE_WHL,TOTAL,EUR,EU,FI	26747246.7987 	29185681.8064 	24262029.2063 	22171943.834 	26539404.861 	30746343.9317 	25378592.66 	19716678.45 	15314541.3 	13631975.58 	15191691.6 	14413367.6 	15455671.513 	11987658.6546 	12488430.1001 	10333299.2359 	4522616.9839 	: 	: 	: 	: 	: 
F01,FRE_WHL,TOTAL,EUR,FI,FI	26747246.7987 	29185681.8064 	24262029.2063 	22171943.834 	26539404.861 	30746343.9317 	25378592.66 	19716678.45 	15314541.3 	13631975.58 	15191691.6 	14413367.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,TOTAL,EUR,TOTAL,FI	26747246.7987 	29185681.8064 	24262029.2063 	22171943.834 	26539404.861 	30746343.9317 	25378592.66 	19716678.45 	15314541.3 	13631975.58 	15191691.6 	14413367.6 	15455671.513 	11987658.6546 	12488430.1001 	10333299.2359 	4522616.9839 	: 	: 	: 	: 	: 
F01,FRE_WHL,TOTAL,EUR_T,EU,FI	227.9363 	220.2012 	234.2406 	229.3167 	273.8082 	283.1299 	249.45 	255.4821 	186.7786 	163.5712 	169.5165 	156.8519 	171.3246 	144.2345 	149.5585 	144.4417 	49.0287 	: 	: 	: 	: 	: 
F01,FRE_WHL,TOTAL,EUR_T,FI,FI	227.9363 	220.2012 	234.2406 	229.3167 	273.8082 	283.1299 	249.45 	255.4821 	186.7786 	163.5712 	169.5165 	156.8519 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,TOTAL,EUR_T,TOTAL,FI	227.9363 	220.2012 	234.2406 	229.3167 	273.8082 	283.1299 	249.45 	255.4821 	186.7786 	163.5712 	169.5165 	156.8519 	171.3246 	144.2345 	149.5585 	144.4417 	49.0287 	: 	: 	: 	: 	: 
F01,FRE_WHL,TOTAL,TPW,EU,FI	117345.268 	132541.001 	103577.4 	96687 	96927 	108594.487 	101738.2 	77174.4 	81993 	83339.7 	89617.8 	91891.6 	90212.8 	83112.3 	83502 	71539.6 	92244.2 	89477.8 	92313.6 	: 	: 	: 
F01,FRE_WHL,TOTAL,TPW,FI,FI	117345.268 	132541.001 	103577.4 	96687 	96927 	108594.487 	101738.2 	77174.4 	81993 	83339.7 	89617.8 	91891.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,TOTAL,TPW,TOTAL,FI	117345.268 	132541.001 	103577.4 	96687 	96927 	108594.487 	101738.2 	77174.4 	81993 	83339.7 	89617.8 	91891.6 	90212.8 	83112.3 	83502 	71539.6 	92244.2 	89477.8 	92313.6 	: 	: 	: 
F01,FRE_WHL,UNK,EUR,EU,FI	577246.367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,UNK,EUR,FI,FI	577246.367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,UNK,EUR,TOTAL,FI	577246.367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,UNK,EUR_T,EU,FI	188.9379 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,UNK,EUR_T,FI,FI	188.9379 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,UNK,EUR_T,TOTAL,FI	188.9379 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,UNK,TPW,EU,FI	3055.218 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,UNK,TPW,FI,FI	3055.218 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,FRE_WHL,UNK,TPW,TOTAL,FI	3055.218 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,HCN,EUR,EU,FI	12011831.0263 	14773165.2119 	13889007.2901 	13867406.306 	18075964.543 	19438370.7468 	19014703.11 	15776528.31 	13130696.94 	12677395.84 	14314798.9 	12351746.8 	11391776.309 	11108640.7438 	10508280.69 	13471283.6969 	4698456.2416 	: 	: 	15838300 	15119456 	19085742 
F01,TOTAL,HCN,EUR,FI,FI	12011831.0263 	14773165.2119 	13889007.2901 	13867406.306 	18075964.543 	19438370.7468 	19014703.11 	15776528.31 	13130696.94 	12677395.84 	14314798.9 	12351746.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,HCN,EUR,TOTAL,FI	12011831.0263 	14773165.2119 	13889007.2901 	13867406.306 	18075964.543 	19438370.7468 	19014703.11 	15776528.31 	13130696.94 	12677395.84 	14314798.9 	12351746.8 	11391776.309 	11108640.7438 	10508280.69 	13471283.6969 	4698456.2416 	: 	: 	15838300 	15119456 	19085742 
F01,TOTAL,HCN,EUR_T,EU,FI	682.2846 	492.9176 	550.3125 	593.4459 	536.9444 	514.0272 	424.7805 	599.1003 	493.0588 	459.7357 	341.5588 	364.0748 	437.2942 	329.9221 	463.6245 	571.5097 	155.5234 	: 	: 	637 	536 	563 
F01,TOTAL,HCN,EUR_T,FI,FI	682.2846 	492.9176 	550.3125 	593.4459 	536.9444 	514.0272 	424.7805 	599.1003 	493.0588 	459.7357 	341.5588 	364.0748 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,HCN,EUR_T,TOTAL,FI	682.2846 	492.9176 	550.3125 	593.4459 	536.9444 	514.0272 	424.7805 	599.1003 	493.0588 	459.7357 	341.5588 	364.0748 	437.2942 	329.9221 	463.6245 	571.5097 	155.5234 	: 	: 	637 	536 	563 
F01,TOTAL,HCN,TPW,EU,FI	17605.31 	29970.861 	25238.4 	23367.6 	33664.5 	37815.841 	44763.6 	26333.7 	26631.1 	27575.4 	41910.2 	33926.4 	26050.6 	33670.5 	22665.5 	23571.4 	30210.6 	34538.2 	27480.1 	24866 	28199 	33874 
F01,TOTAL,HCN,TPW,FI,FI	17605.31 	29970.861 	25238.4 	23367.6 	33664.5 	37815.841 	44763.6 	26333.7 	26631.1 	27575.4 	41910.2 	33926.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,HCN,TPW,TOTAL,FI	17605.31 	29970.861 	25238.4 	23367.6 	33664.5 	37815.841 	44763.6 	26333.7 	26631.1 	27575.4 	41910.2 	33926.4 	26050.6 	33670.5 	22665.5 	23571.4 	30210.6 	34538.2 	27480.1 	24866 	28199 	33874 
F01,TOTAL,IND,EUR,EU,FI	17557968.9348 	18393995.6769 	13930426.5863 	12117978.824 	12757458.605 	15726799.8945 	10074065.61 	8557139.42 	6266450 	5365153.79 	4854988.8 	5298021 	7096979.794 	3958778.9782 	5094360.1311 	5208179.8131 	1313087.9662 	: 	: 	3882650 	5662167 	7512420 
F01,TOTAL,IND,EUR,FI,FI	17557968.9348 	18393995.6769 	13930426.5863 	12117978.824 	12757458.605 	15726799.8945 	10074065.61 	8557139.42 	6266450 	5365153.79 	4854988.8 	5298021 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,IND,EUR,TOTAL,FI	17557968.9348 	18393995.6769 	13930426.5863 	12117978.824 	12757458.605 	15726799.8945 	10074065.61 	8557139.42 	6266450 	5365153.79 	4854988.8 	5298021 	7096979.794 	3958778.9782 	5094360.1311 	5208179.8131 	1313087.9662 	: 	: 	3882650 	5662167 	7512420 
F01,TOTAL,IND,EUR_T,EU,FI	180.3521 	177.2071 	175.3799 	163.1407 	197.9358 	218.546 	173.598 	164.7035 	111.1901 	94.4165 	99.5379 	90 	109.1853 	78.5039 	82.3064 	98.9417 	19.7457 	: 	: 	59 	103 	106 
F01,TOTAL,IND,EUR_T,FI,FI	180.3521 	177.2071 	175.3799 	163.1407 	197.9358 	218.546 	173.598 	164.7035 	111.1901 	94.4165 	99.5379 	90 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,IND,EUR_T,TOTAL,FI	180.3521 	177.2071 	175.3799 	163.1407 	197.9358 	218.546 	173.598 	164.7035 	111.1901 	94.4165 	99.5379 	90 	109.1853 	78.5039 	82.3064 	98.9417 	19.7457 	: 	: 	59 	103 	106 
F01,TOTAL,IND,TPW,EU,FI	97353.82 	103799.41 	79430 	74279.3 	64452.5 	71961.063 	58031 	51954.8 	56358 	56824.3 	48775.3 	58866.9 	64999.4 	50427.8 	61895.1 	52638.9 	66499.9 	58960.8 	68937.6 	66060 	54788 	70853 
F01,TOTAL,IND,TPW,FI,FI	97353.82 	103799.41 	79430 	74279.3 	64452.5 	71961.063 	58031 	51954.8 	56358 	56824.3 	48775.3 	58866.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,IND,TPW,TOTAL,FI	97353.82 	103799.41 	79430 	74279.3 	64452.5 	71961.063 	58031 	51954.8 	56358 	56824.3 	48775.3 	58866.9 	64999.4 	50427.8 	61895.1 	52638.9 	66499.9 	58960.8 	68937.6 	66060 	54788 	70853 
F01,TOTAL,TOTAL,EUR,EU,FI	30147046.3281 	33167160.8888 	27819433.8764 	25985385.13 	30833423.148 	35165170.6413 	29088768.72 	24333667.73 	19397146.94 	18042549.63 	19169787.7 	17649767.8 	18488756.103 	15067420.6378 	15602644.1366 	18679466.4635 	6011540.5297 	: 	: 	19720950 	20781623 	26598163 
F01,TOTAL,TOTAL,EUR,FI,FI	30147046.3281 	33167160.8888 	27819433.8764 	25985385.13 	30833423.148 	35165170.6413 	29088768.72 	24333667.73 	19397146.94 	18042549.63 	19169787.7 	17649767.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,TOTAL,EUR,TOTAL,FI	30147046.3281 	33167160.8888 	27819433.8764 	25985385.13 	30833423.148 	35165170.6413 	29088768.72 	24333667.73 	19397146.94 	18042549.63 	19169787.7 	17649767.8 	18488756.103 	15067420.6378 	15602644.1366 	18679466.4635 	6011540.5297 	: 	: 	19720950 	20781623 	26598163 
F01,TOTAL,TOTAL,EUR_T,EU,FI	255.4524 	247.9412 	265.7864 	266.1158 	314.2516 	320.3331 	282.9795 	310.8205 	233.7313 	213.775 	211.3876 	190.2052 	203.0616 	179.1644 	184.5143 	245.1042 	62.1602 	: 	: 	217 	250 	254 
F01,TOTAL,TOTAL,EUR_T,FI,FI	255.4524 	247.9412 	265.7864 	266.1158 	314.2516 	320.3331 	282.9795 	310.8205 	233.7313 	213.775 	211.3876 	190.2052 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,TOTAL,EUR_T,TOTAL,FI	255.4524 	247.9412 	265.7864 	266.1158 	314.2516 	320.3331 	282.9795 	310.8205 	233.7313 	213.775 	211.3876 	190.2052 	203.0616 	179.1644 	184.5143 	245.1042 	62.1602 	: 	: 	217 	250 	254 
F01,TOTAL,TOTAL,TPW,EU,FI	118014.348 	133770.271 	104668.4 	97646.9 	98117 	109776.904 	102794.6 	78288.5 	82989.1 	84399.7 	90685.5 	92793.3 	91050 	84098.3 	84560.6 	76210.3 	96710.5 	93499 	96417.7 	90927 	82987 	104727 
F01,TOTAL,TOTAL,TPW,FI,FI	118014.348 	133770.271 	104668.4 	97646.9 	98117 	109776.904 	102794.6 	78288.5 	82989.1 	84399.7 	90685.5 	92793.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,TOTAL,TPW,TOTAL,FI	118014.348 	133770.271 	104668.4 	97646.9 	98117 	109776.904 	102794.6 	78288.5 	82989.1 	84399.7 	90685.5 	92793.3 	91050 	84098.3 	84560.6 	76210.3 	96710.5 	93499 	96417.7 	90927 	82987 	104727 
F01,TOTAL,UNK,EUR,EU,FI	577246.367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,UNK,EUR,FI,FI	577246.367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,UNK,EUR,TOTAL,FI	577246.367 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,UNK,EUR_T,EU,FI	188.9379 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,UNK,EUR_T,FI,FI	188.9379 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,UNK,EUR_T,TOTAL,FI	188.9379 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,UNK,TPW,EU,FI	3055.218 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,UNK,TPW,FI,FI	3055.218 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F01,TOTAL,UNK,TPW,TOTAL,FI	3055.218 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE,HCN,EUR,EU,FI	8309004.4015 	7792237.7777 	8210734.1001 	8511760.27 	10267391.53 	9655886.832 	8863846.29 	10569082.64 	8558812.3 	7741107.22 	7082967.3 	6372732.7 	5790111.16 	4088724.9753 	5300112.0549 	6933039.4084 	1164376.3218 	: 	: 	6050585 	6734161 	7241032 
F02,FRE,HCN,EUR,FI,FI	8309004.4015 	7792237.7777 	8210734.1001 	8511760.27 	10267391.53 	9655886.832 	8863846.29 	10569082.64 	8558812.3 	7741107.22 	7082967.3 	6372732.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE,HCN,EUR,TOTAL,FI	8309004.4015 	7792237.7777 	8210734.1001 	8511760.27 	10267391.53 	9655886.832 	8863846.29 	10569082.64 	8558812.3 	7741107.22 	7082967.3 	6372732.7 	5790111.16 	4088724.9753 	5300112.0549 	6933039.4084 	1164376.3218 	: 	: 	6050585 	6734161 	7241032 
F02,FRE,HCN,EUR_T,EU,FI	1973.2884 	2119.4193 	2157.0865 	1985.0187 	1889.0897 	1885.8624 	1841.3408 	2137.2407 	2203.6077 	2587.6144 	2286.6723 	1899.9829 	2626.3772 	2215.7508 	2439.525 	2354.8127 	428.8047 	: 	: 	2201 	2162 	2136 
F02,FRE,HCN,EUR_T,FI,FI	1973.2884 	2119.4193 	2157.0865 	1985.0187 	1889.0897 	1885.8624 	1841.3408 	2137.2407 	2203.6077 	2587.6144 	2286.6723 	1899.9829 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE,HCN,EUR_T,TOTAL,FI	1973.2884 	2119.4193 	2157.0865 	1985.0187 	1889.0897 	1885.8624 	1841.3408 	2137.2407 	2203.6077 	2587.6144 	2286.6723 	1899.9829 	2626.3772 	2215.7508 	2439.525 	2354.8127 	428.8047 	: 	: 	2201 	2162 	2136 
F02,FRE,HCN,TPW,EU,FI	4210.74 	3676.591 	3806.4 	4288 	5435.1 	5120.144 	4813.8 	4945.2 	3884 	2991.6 	3097.5 	3354.1 	2204.6 	1845.3 	2172.6 	2944.2 	2715.4 	2366.1 	2758.3 	2749 	3116 	3390 
F02,FRE,HCN,TPW,FI,FI	4210.74 	3676.591 	3806.4 	4288 	5435.1 	5120.144 	4813.8 	4945.2 	3884 	2991.6 	3097.5 	3354.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE,HCN,TPW,TOTAL,FI	4210.74 	3676.591 	3806.4 	4288 	5435.1 	5120.144 	4813.8 	4945.2 	3884 	2991.6 	3097.5 	3354.1 	2204.6 	1845.3 	2172.6 	2944.2 	2715.4 	2366.1 	2758.3 	2749 	3116 	3390 
F02,FRE,TOTAL,EUR,EU,FI	8309004.4015 	7792237.7777 	8210734.1001 	8511760.27 	10267391.53 	9655886.832 	8863846.29 	10569082.64 	8558812.3 	7741107.22 	7082967.3 	6372732.7 	5790111.16 	4088724.9753 	5300112.0549 	6933039.4084 	1164376.3218 	: 	: 	6050585 	6734161 	7241032 
F02,FRE,TOTAL,EUR,FI,FI	8309004.4015 	7792237.7777 	8210734.1001 	8511760.27 	10267391.53 	9655886.832 	8863846.29 	10569082.64 	8558812.3 	7741107.22 	7082967.3 	6372732.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE,TOTAL,EUR,TOTAL,FI	8309004.4015 	7792237.7777 	8210734.1001 	8511760.27 	10267391.53 	9655886.832 	8863846.29 	10569082.64 	8558812.3 	7741107.22 	7082967.3 	6372732.7 	5790111.16 	4088724.9753 	5300112.0549 	6933039.4084 	1164376.3218 	: 	: 	6050585 	6734161 	7241032 
F02,FRE,TOTAL,EUR_T,EU,FI	1973.2884 	2119.4193 	2157.0865 	1985.0187 	1889.0897 	1885.8624 	1841.3408 	2137.2407 	2203.6077 	2587.6144 	2286.6723 	1899.9829 	2626.3772 	2215.7508 	2439.525 	2354.8127 	428.8047 	: 	: 	2201 	2162 	2136 
F02,FRE,TOTAL,EUR_T,FI,FI	1973.2884 	2119.4193 	2157.0865 	1985.0187 	1889.0897 	1885.8624 	1841.3408 	2137.2407 	2203.6077 	2587.6144 	2286.6723 	1899.9829 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE,TOTAL,EUR_T,TOTAL,FI	1973.2884 	2119.4193 	2157.0865 	1985.0187 	1889.0897 	1885.8624 	1841.3408 	2137.2407 	2203.6077 	2587.6144 	2286.6723 	1899.9829 	2626.3772 	2215.7508 	2439.525 	2354.8127 	428.8047 	: 	: 	2201 	2162 	2136 
F02,FRE,TOTAL,TPW,EU,FI	4210.74 	3676.591 	3806.4 	4288 	5435.1 	5120.144 	4813.8 	4945.2 	3884 	2991.6 	3097.5 	3354.1 	2204.6 	1845.3 	2172.6 	2944.2 	2715.4 	2366.1 	2758.3 	2749 	3116 	3390 
F02,FRE,TOTAL,TPW,FI,FI	4210.74 	3676.591 	3806.4 	4288 	5435.1 	5120.144 	4813.8 	4945.2 	3884 	2991.6 	3097.5 	3354.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE,TOTAL,TPW,TOTAL,FI	4210.74 	3676.591 	3806.4 	4288 	5435.1 	5120.144 	4813.8 	4945.2 	3884 	2991.6 	3097.5 	3354.1 	2204.6 	1845.3 	2172.6 	2944.2 	2715.4 	2366.1 	2758.3 	2749 	3116 	3390 
F02,FRE_GUT,HCN,EUR,EU,FI	3278993.0696 	3235290.9824 	3300653.6121 	3511307.696 	4075165.872 	4057335.0748 	3567844.34 	4417696.81 	4038121 	4337085.87 	3948510.7 	3176094.1 	3032334.59 	3079761.9832 	3114214.0365 	3370222.4988 	703647.5466 	: 	: 	: 	: 	: 
F02,FRE_GUT,HCN,EUR,FI,FI	3278993.0696 	3235290.9824 	3300653.6121 	3511307.696 	4075165.872 	4057335.0748 	3567844.34 	4417696.81 	4038121 	4337085.87 	3948510.7 	3176094.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE_GUT,HCN,EUR,TOTAL,FI	3278993.0696 	3235290.9824 	3300653.6121 	3511307.696 	4075165.872 	4057335.0748 	3567844.34 	4417696.81 	4038121 	4337085.87 	3948510.7 	3176094.1 	3032334.59 	3079761.9832 	3114214.0365 	3370222.4988 	703647.5466 	: 	: 	: 	: 	: 
F02,FRE_GUT,HCN,EUR_T,EU,FI	5231.4062 	5192.9167 	4590.617 	4450.8907 	4320.5745 	4076.4127 	3821.5985 	4711.7073 	4557.6986 	4510.2806 	4190.2905 	3778.8151 	3624.1599 	3123.4909 	2941.8232 	3365.1747 	575.2044 	: 	: 	: 	: 	: 
F02,FRE_GUT,HCN,EUR_T,FI,FI	5231.4062 	5192.9167 	4590.617 	4450.8907 	4320.5745 	4076.4127 	3821.5985 	4711.7073 	4557.6986 	4510.2806 	4190.2905 	3778.8151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE_GUT,HCN,EUR_T,TOTAL,FI	5231.4062 	5192.9167 	4590.617 	4450.8907 	4320.5745 	4076.4127 	3821.5985 	4711.7073 	4557.6986 	4510.2806 	4190.2905 	3778.8151 	3624.1599 	3123.4909 	2941.8232 	3365.1747 	575.2044 	: 	: 	: 	: 	: 
F02,FRE_GUT,HCN,TPW,EU,FI	626.79 	623.02 	719 	788.9 	943.2 	995.32 	933.6 	937.6 	886 	961.6 	942.3 	840.5 	836.7 	986 	1058.6 	1001.5 	1223.3 	1151.7 	1526 	: 	: 	: 
F02,FRE_GUT,HCN,TPW,FI,FI	626.79 	623.02 	719 	788.9 	943.2 	995.32 	933.6 	937.6 	886 	961.6 	942.3 	840.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE_GUT,HCN,TPW,TOTAL,FI	626.79 	623.02 	719 	788.9 	943.2 	995.32 	933.6 	937.6 	886 	961.6 	942.3 	840.5 	836.7 	986 	1058.6 	1001.5 	1223.3 	1151.7 	1526 	: 	: 	: 
F02,FRE_GUT,TOTAL,EUR,EU,FI	3278993.0696 	3235290.9824 	3300653.6121 	3511307.696 	4075165.872 	4057335.0748 	3567844.34 	4417696.81 	4038121 	4337085.87 	3948510.7 	3176094.1 	3032334.59 	3079761.9832 	3114214.0365 	3370222.4988 	703647.5466 	: 	: 	: 	: 	: 
F02,FRE_GUT,TOTAL,EUR,FI,FI	3278993.0696 	3235290.9824 	3300653.6121 	3511307.696 	4075165.872 	4057335.0748 	3567844.34 	4417696.81 	4038121 	4337085.87 	3948510.7 	3176094.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE_GUT,TOTAL,EUR,TOTAL,FI	3278993.0696 	3235290.9824 	3300653.6121 	3511307.696 	4075165.872 	4057335.0748 	3567844.34 	4417696.81 	4038121 	4337085.87 	3948510.7 	3176094.1 	3032334.59 	3079761.9832 	3114214.0365 	3370222.4988 	703647.5466 	: 	: 	: 	: 	: 
F02,FRE_GUT,TOTAL,EUR_T,EU,FI	5231.4062 	5192.9167 	4590.617 	4450.8907 	4320.5745 	4076.4127 	3821.5985 	4711.7073 	4557.6986 	4510.2806 	4190.2905 	3778.8151 	3624.1599 	3123.4909 	2941.8232 	3365.1747 	575.2044 	: 	: 	: 	: 	: 
F02,FRE_GUT,TOTAL,EUR_T,FI,FI	5231.4062 	5192.9167 	4590.617 	4450.8907 	4320.5745 	4076.4127 	3821.5985 	4711.7073 	4557.6986 	4510.2806 	4190.2905 	3778.8151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE_GUT,TOTAL,EUR_T,TOTAL,FI	5231.4062 	5192.9167 	4590.617 	4450.8907 	4320.5745 	4076.4127 	3821.5985 	4711.7073 	4557.6986 	4510.2806 	4190.2905 	3778.8151 	3624.1599 	3123.4909 	2941.8232 	3365.1747 	575.2044 	: 	: 	: 	: 	: 
F02,FRE_GUT,TOTAL,TPW,EU,FI	626.79 	623.02 	719 	788.9 	943.2 	995.32 	933.6 	937.6 	886 	961.6 	942.3 	840.5 	836.7 	986 	1058.6 	1001.5 	1223.3 	1151.7 	1526 	: 	: 	: 
F02,FRE_GUT,TOTAL,TPW,FI,FI	626.79 	623.02 	719 	788.9 	943.2 	995.32 	933.6 	937.6 	886 	961.6 	942.3 	840.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F02,FRE_GUT,TOTAL,TPW,TOTAL,FI	626.79 	623.02 	719 	788.9 	943.2 	995.32 	933.6 	937.6 	886 	961.6 	942.3 	840.5 	836.7 	986 	1058.6 	1001.5 	1223.3 	1151.7 	1526 	: 	: 	: 
F02,FRE_NSP,HCN,EUR,EU,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3562816.9096 	460728.7752 	: 	: 	: 	: 	: 
F02,FRE_NSP,HCN,EUR,TOTAL,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3562816.9096 	460728.7752 	: 	: 	: 	: 	: 
F02,FRE_NSP,HCN,EUR_T,EU,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1833.9512 	308.7788 	: 	: 	: 	: 	: 
