species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 
AHH,FRE_WHL,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	3024 	3414 	3271 	4053 	3027 	2847 	3314 	2887 	2629 	2306 	: 	: 	: 	: 
AHH,FRE_WHL,TOTAL,TPW,EU,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
AHH,FRE_WHL,TOTAL,TPW,SI,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
AHH,FRE_WHL,TOTAL,TPW,TOTAL,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
AHH,TOTAL,HCN,EUR,EU,SI	0 	: 	0 	907.2 	682.8 	1308.4 	4458.3 	4540.5 	2277.6 	3645.4 	2309.6 	1840.3 	922.4 	: 	: 	: 	: 
AHH,TOTAL,HCN,EUR,SI,SI	0 	: 	0 	907.2 	682.8 	1308.4 	4458.3 	4540.5 	2277.6 	3645.4 	2309.6 	1840.3 	922.4 	: 	: 	: 	: 
AHH,TOTAL,HCN,EUR,TOTAL,SI	0 	: 	0 	907.2 	682.8 	1308.4 	4458.3 	4540.5 	2277.6 	3645.4 	2309.6 	1840.3 	922.4 	: 	: 	: 	: 
AHH,TOTAL,HCN,EUR_T,EU,SI	: 	: 	: 	3024 	3414 	3271 	4053 	3027 	2847 	3314 	2887 	2629 	2306 	: 	: 	: 	: 
AHH,TOTAL,HCN,EUR_T,SI,SI	: 	: 	: 	3024 	3414 	3271 	4053 	3027 	2847 	3314 	2887 	2629 	2306 	: 	: 	: 	: 
AHH,TOTAL,HCN,EUR_T,TOTAL,SI	: 	: 	: 	3024 	3414 	3271 	4053 	3027 	2847 	3314 	2887 	2629 	2306 	: 	: 	: 	: 
AHH,TOTAL,HCN,TPW,EU,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
AHH,TOTAL,HCN,TPW,SI,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
AHH,TOTAL,HCN,TPW,TOTAL,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,EUR,EU,SI	0 	: 	0 	907.2 	682.8 	1308.4 	4458.3 	4540.5 	2277.6 	3645.4 	2309.6 	1840.3 	922.4 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,EUR,SI,SI	0 	: 	0 	907.2 	682.8 	1308.4 	4458.3 	4540.5 	2277.6 	3645.4 	2309.6 	1840.3 	922.4 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,EUR,TOTAL,SI	0 	: 	0 	907.2 	682.8 	1308.4 	4458.3 	4540.5 	2277.6 	3645.4 	2309.6 	1840.3 	922.4 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,EUR_T,EU,SI	: 	: 	: 	3024 	3414 	3271 	4053 	3027 	2847 	3314 	2887 	2629 	2306 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,EUR_T,SI,SI	: 	: 	: 	3024 	3414 	3271 	4053 	3027 	2847 	3314 	2887 	2629 	2306 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	3024 	3414 	3271 	4053 	3027 	2847 	3314 	2887 	2629 	2306 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,TPW,EU,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,TPW,SI,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
AHH,TOTAL,TOTAL,TPW,TOTAL,SI	0 	: 	0 	0.3 	0.2 	0.4 	1.1 	1.5 	0.8 	1.1 	0.8 	0.7 	0.4 	: 	: 	: 	: 
ALV,FRE,HCN,EUR,EU,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,HCN,EUR,SI,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,HCN,EUR,TOTAL,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,HCN,EUR_T,EU,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE,HCN,EUR_T,SI,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE,HCN,EUR_T,TOTAL,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE,HCN,TPW,EU,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,HCN,TPW,SI,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,HCN,TPW,TOTAL,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,TOTAL,EUR,EU,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,TOTAL,EUR,SI,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,TOTAL,EUR,TOTAL,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,TOTAL,EUR_T,EU,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE,TOTAL,EUR_T,SI,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE,TOTAL,EUR_T,TOTAL,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE,TOTAL,TPW,EU,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,TOTAL,TPW,SI,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE,TOTAL,TPW,TOTAL,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,EUR,EU,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,EUR,SI,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,EUR,TOTAL,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,EUR_T,EU,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,EUR_T,SI,SI	8440 	8360 	: 	9051 	: 	: 	: 	7700 	7540 	: 	: 	: 	2306 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,EUR_T,TOTAL,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,TPW,EU,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,TPW,SI,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,HCN,TPW,TOTAL,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,EUR,EU,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,EUR,SI,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,EUR,TOTAL,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,EUR_T,EU,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,EUR_T,SI,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,EUR_T,TOTAL,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,TPW,EU,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,TPW,SI,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,FRE_WHL,TOTAL,TPW,TOTAL,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,HCN,EUR,EU,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,HCN,EUR,SI,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,HCN,EUR,TOTAL,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,HCN,EUR_T,EU,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,TOTAL,HCN,EUR_T,SI,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,TOTAL,HCN,EUR_T,TOTAL,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,TOTAL,HCN,TPW,EU,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,HCN,TPW,SI,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,HCN,TPW,TOTAL,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,EUR,EU,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,EUR,SI,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,EUR,TOTAL,SI	844 	0 	: 	0 	: 	: 	: 	0 	754 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,EUR_T,EU,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,EUR_T,SI,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,EUR_T,TOTAL,SI	8440 	: 	: 	: 	: 	: 	: 	: 	7540 	: 	: 	: 	: 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,TPW,EU,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,TPW,SI,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
ALV,TOTAL,TOTAL,TPW,TOTAL,SI	0.1 	0 	: 	0 	: 	: 	: 	0 	0.1 	: 	: 	: 	0 	: 	: 	: 	: 
AMB,FRE,HCN,EUR,EU,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,HCN,EUR,SI,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,HCN,EUR,TOTAL,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,HCN,EUR_T,EU,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,EUR_T,SI,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,EUR_T,TOTAL,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,EU,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,SI,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,HCN,TPW,TOTAL,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,EU,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,SI,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR,TOTAL,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,EU,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,SI,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,EUR_T,TOTAL,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,EU,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,SI,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE,TOTAL,TPW,TOTAL,SI	0.1 	0.1 	0.3 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,EU,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,SI,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR,TOTAL,SI	621.6 	752.4 	1764 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR_T,EU,SI	6216 	7524 	5880 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AMB,FRE_WHL,HCN,EUR_T,SI,SI	6216 	7524 	5880 	3830 	8440 	8000 	6000 	5000 	7540 	1796 	1606 	1281 	1245 	: 	: 	: 	: 
