species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 
F08,FRE,TOTAL,TPW,TOTAL,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	719.3 	764.4 	867 	694.6 	917 	934.9 	1010.8 	808.1 	1086.1 	1456 
F08,FRE,UNK,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,FRE,UNK,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,FRE,UNK,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,FRE,UNK,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,FRE,UNK,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,FRE,UNK,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,FRE,UNK,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F08,FRE,UNK,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F08,FRE,UNK,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F08,FRE_NSP,HCN,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1123420.5842 	701552.573 	809959.4122 	: 
F08,FRE_NSP,HCN,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	367480.9678 	327601.6224 	581270.95 	: 
F08,FRE_NSP,HCN,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	367480.9678 	327601.6224 	581270.95 	: 
F08,FRE_NSP,HCN,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1111.4173 	868.1507 	745.7503 	: 
F08,FRE_NSP,HCN,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	363.5546 	405.3974 	535.191 	: 
F08,FRE_NSP,HCN,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	363.5546 	405.3974 	535.191 	: 
F08,FRE_NSP,HCN,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1010.8 	808.1 	1086.1 	1456 
F08,FRE_NSP,HCN,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1010.8 	808.1 	1086.1 	1456 
F08,FRE_NSP,HCN,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1010.8 	808.1 	1086.1 	1456 
F08,FRE_NSP,TOTAL,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1123420.5842 	701552.573 	809959.4122 	: 
F08,FRE_NSP,TOTAL,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1123420.5842 	701552.573 	809959.4122 	: 
F08,FRE_NSP,TOTAL,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1123420.5842 	701552.573 	809959.4122 	: 
F08,FRE_NSP,TOTAL,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1111.4173 	868.1507 	745.7503 	: 
F08,FRE_NSP,TOTAL,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1111.4173 	868.1507 	745.7503 	: 
F08,FRE_NSP,TOTAL,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1111.4173 	868.1507 	745.7503 	: 
F08,FRE_NSP,TOTAL,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1010.8 	808.1 	1086.1 	1456 
F08,FRE_NSP,TOTAL,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1010.8 	808.1 	1086.1 	1456 
F08,FRE_NSP,TOTAL,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1010.8 	808.1 	1086.1 	1456 
F08,FRE_WHL,HCN,EUR,EU,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	1329316.6 	1180032.9 	896112.6 	747809.8 	1037400.7 	605142 	: 	: 	: 	: 
F08,FRE_WHL,HCN,EUR,SI,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	1329316.6 	1180032.9 	896112.6 	747809.8 	1037400.7 	605142 	: 	: 	: 	: 
F08,FRE_WHL,HCN,EUR,TOTAL,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	1329316.6 	1180032.9 	896112.6 	747809.8 	1037400.7 	605142 	: 	: 	: 	: 
F08,FRE_WHL,HCN,EUR_T,EU,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	5317.2664 	5415.4791 	3916.576 	3711.2149 	3993.0743 	2669.3516 	: 	: 	: 	: 
F08,FRE_WHL,HCN,EUR_T,SI,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	5317.2664 	5415.4791 	3916.576 	3711.2149 	3993.0743 	2669.3516 	: 	: 	: 	: 
F08,FRE_WHL,HCN,EUR_T,TOTAL,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	5317.2664 	5415.4791 	3916.576 	3711.2149 	3993.0743 	2669.3516 	: 	: 	: 	: 
F08,FRE_WHL,HCN,TPW,EU,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	250 	217.9 	228.8 	201.5 	259.8 	226.7 	: 	: 	: 	: 
F08,FRE_WHL,HCN,TPW,SI,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	250 	217.9 	228.8 	201.5 	259.8 	226.7 	: 	: 	: 	: 
F08,FRE_WHL,HCN,TPW,TOTAL,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	250 	217.9 	228.8 	201.5 	259.8 	226.7 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,EUR,EU,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	2049889.7 	1997074.9 	1688230.6 	1421588.9 	1852848.1 	1473138.4 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,EUR,SI,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	2049889.7 	1997074.9 	1688230.6 	1421588.9 	1852848.1 	1473138.4 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,EUR,TOTAL,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	2049889.7 	1997074.9 	1688230.6 	1421588.9 	1852848.1 	1473138.4 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,EUR_T,EU,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	2849.8397 	2612.6045 	1947.2095 	2046.6296 	2020.5541 	1575.7176 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,EUR_T,SI,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	2849.8397 	2612.6045 	1947.2095 	2046.6296 	2020.5541 	1575.7176 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,EUR_T,TOTAL,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	2849.8397 	2612.6045 	1947.2095 	2046.6296 	2020.5541 	1575.7176 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,TPW,EU,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	719.3 	764.4 	867 	694.6 	917 	934.9 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,TPW,SI,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	719.3 	764.4 	867 	694.6 	917 	934.9 	: 	: 	: 	: 
F08,FRE_WHL,TOTAL,TPW,TOTAL,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	719.3 	764.4 	867 	694.6 	917 	934.9 	: 	: 	: 	: 
F08,FRE_WHL,UNK,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,FRE_WHL,UNK,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,FRE_WHL,UNK,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,FRE_WHL,UNK,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,FRE_WHL,UNK,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,FRE_WHL,UNK,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,FRE_WHL,UNK,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F08,FRE_WHL,UNK,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F08,FRE_WHL,UNK,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F08,TOTAL,HCN,EUR,EU,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	1329316.6 	1180032.9 	896112.6 	747809.8 	1037400.7 	605142 	1123420.5842 	701552.573 	809959.4122 	: 
F08,TOTAL,HCN,EUR,SI,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	1329316.6 	1180032.9 	896112.6 	747809.8 	1037400.7 	605142 	1123420.5842 	701552.573 	809959.4122 	: 
F08,TOTAL,HCN,EUR,TOTAL,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	1329316.6 	1180032.9 	896112.6 	747809.8 	1037400.7 	605142 	1123420.5842 	701552.573 	809959.4122 	: 
F08,TOTAL,HCN,EUR_T,EU,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	5317.2664 	5415.4791 	3916.576 	3711.2149 	3993.0743 	2669.3516 	1111.4173 	868.1507 	745.7503 	: 
F08,TOTAL,HCN,EUR_T,SI,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	5317.2664 	5415.4791 	3916.576 	3711.2149 	3993.0743 	2669.3516 	1111.4173 	868.1507 	745.7503 	: 
F08,TOTAL,HCN,EUR_T,TOTAL,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	5317.2664 	5415.4791 	3916.576 	3711.2149 	3993.0743 	2669.3516 	1111.4173 	868.1507 	745.7503 	: 
F08,TOTAL,HCN,TPW,EU,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	250 	217.9 	228.8 	201.5 	259.8 	226.7 	1010.8 	808.1 	1086.1 	1456 
F08,TOTAL,HCN,TPW,SI,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	250 	217.9 	228.8 	201.5 	259.8 	226.7 	1010.8 	808.1 	1086.1 	1456 
F08,TOTAL,HCN,TPW,TOTAL,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	250 	217.9 	228.8 	201.5 	259.8 	226.7 	1010.8 	808.1 	1086.1 	1456 
F08,TOTAL,TOTAL,EUR,EU,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	2049889.7 	1997074.9 	1688230.6 	1421588.9 	1852848.1 	1473138.4 	1123420.5842 	701552.573 	809959.4122 	: 
F08,TOTAL,TOTAL,EUR,SI,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	2049889.7 	1997074.9 	1688230.6 	1421588.9 	1852848.1 	1473138.4 	1123420.5842 	701552.573 	809959.4122 	: 
F08,TOTAL,TOTAL,EUR,TOTAL,SI	863758.1 	888564.6 	1084398.0807 	1272073.1 	1281351.2 	1230360.7 	1465650.9 	2049889.7 	1997074.9 	1688230.6 	1421588.9 	1852848.1 	1473138.4 	1123420.5842 	701552.573 	809959.4122 	: 
F08,TOTAL,TOTAL,EUR_T,EU,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	2849.8397 	2612.6045 	1947.2095 	2046.6296 	2020.5541 	1575.7176 	1111.4173 	868.1507 	745.7503 	: 
F08,TOTAL,TOTAL,EUR_T,SI,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	2849.8397 	2612.6045 	1947.2095 	2046.6296 	2020.5541 	1575.7176 	1111.4173 	868.1507 	745.7503 	: 
F08,TOTAL,TOTAL,EUR_T,TOTAL,SI	6855.223 	6914.8996 	7110.8071 	6490.1689 	5054.6398 	5173.9306 	4450.8075 	2849.8397 	2612.6045 	1947.2095 	2046.6296 	2020.5541 	1575.7176 	1111.4173 	868.1507 	745.7503 	: 
F08,TOTAL,TOTAL,TPW,EU,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	719.3 	764.4 	867 	694.6 	917 	934.9 	1010.8 	808.1 	1086.1 	1456 
F08,TOTAL,TOTAL,TPW,SI,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	719.3 	764.4 	867 	694.6 	917 	934.9 	1010.8 	808.1 	1086.1 	1456 
F08,TOTAL,TOTAL,TPW,TOTAL,SI	126 	128.5 	152.5 	196 	253.5 	237.8 	329.3 	719.3 	764.4 	867 	694.6 	917 	934.9 	1010.8 	808.1 	1086.1 	1456 
F08,TOTAL,UNK,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,TOTAL,UNK,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,TOTAL,UNK,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	720573.1 	817042 	792118 	673779.1 	815447.4 	867996.4 	: 	: 	: 	: 
F08,TOTAL,UNK,EUR_T,EU,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,TOTAL,UNK,EUR_T,SI,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,TOTAL,UNK,EUR_T,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	1535.4211 	1495.0448 	1241.1752 	1366.4147 	1240.7903 	1225.6374 	: 	: 	: 	: 
F08,TOTAL,UNK,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F08,TOTAL,UNK,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F08,TOTAL,UNK,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	469.3 	546.5 	638.2 	493.1 	657.2 	708.2 	: 	: 	: 	: 
F20,FRE,HCN,EUR,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,FRE,HCN,EUR,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,FRE,HCN,EUR,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,FRE,HCN,TPW,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,FRE,HCN,TPW,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,FRE,HCN,TPW,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,FRE,TOTAL,EUR,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,FRE,TOTAL,EUR,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,FRE,TOTAL,EUR,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,FRE,TOTAL,TPW,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,FRE,TOTAL,TPW,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,FRE,TOTAL,TPW,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,FRE_NSP,HCN,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F20,FRE_NSP,HCN,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F20,FRE_NSP,HCN,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F20,FRE_NSP,HCN,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F20,FRE_NSP,HCN,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F20,FRE_NSP,HCN,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F20,FRE_NSP,TOTAL,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F20,FRE_NSP,TOTAL,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F20,FRE_NSP,TOTAL,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F20,FRE_NSP,TOTAL,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F20,FRE_NSP,TOTAL,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F20,FRE_NSP,TOTAL,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F20,FRE_WHL,HCN,EUR,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,HCN,EUR,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,HCN,EUR,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,HCN,TPW,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,HCN,TPW,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,HCN,TPW,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,TOTAL,EUR,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,TOTAL,EUR,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,TOTAL,EUR,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,TOTAL,TPW,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,TOTAL,TPW,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,FRE_WHL,TOTAL,TPW,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
F20,TOTAL,HCN,EUR,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,TOTAL,HCN,EUR,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,TOTAL,HCN,EUR,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,TOTAL,HCN,TPW,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,TOTAL,HCN,TPW,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,TOTAL,HCN,TPW,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,TOTAL,TOTAL,EUR,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,TOTAL,TOTAL,EUR,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,TOTAL,TOTAL,EUR,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F20,TOTAL,TOTAL,TPW,EU,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,TOTAL,TOTAL,TPW,SI,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F20,TOTAL,TOTAL,TPW,TOTAL,SI	0 	0 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F22,FRE,HCN,EUR,EU,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F22,FRE,HCN,EUR,SI,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F22,FRE,HCN,EUR,TOTAL,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F22,FRE,HCN,TPW,EU,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F22,FRE,HCN,TPW,SI,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F22,FRE,HCN,TPW,TOTAL,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F22,FRE,TOTAL,EUR,EU,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F22,FRE,TOTAL,EUR,SI,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F22,FRE,TOTAL,EUR,TOTAL,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	: 	0 	: 
F22,FRE,TOTAL,TPW,EU,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F22,FRE,TOTAL,TPW,SI,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F22,FRE,TOTAL,TPW,TOTAL,SI	: 	: 	: 	: 	: 	0 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
F22,FRE_NSP,HCN,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F22,FRE_NSP,HCN,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F22,FRE_NSP,HCN,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F22,FRE_NSP,HCN,TPW,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F22,FRE_NSP,HCN,TPW,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F22,FRE_NSP,HCN,TPW,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 
F22,FRE_NSP,TOTAL,EUR,EU,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F22,FRE_NSP,TOTAL,EUR,SI,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
F22,FRE_NSP,TOTAL,EUR,TOTAL,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	: 
