species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
F07,TOTAL,TOTAL,TPW,DE,IS	1655 	436 	1798 	1674 	2147 	192.834 	: 	2878.8 	: 	: 	: 	: 	21.9 	8.5 	2.3 	151.6 	50 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,DK,IS	: 	: 	: 	: 	16950 	: 	43173.1 	40253.9 	26150 	18801.4 	70620.9 	63106.2 	84498.4 	70929.8 	107585.6 	143829.8 	79456.5 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,EE,IS	: 	: 	: 	: 	: 	146.427 	: 	49.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,EFTA,IS	1244297 	1104424 	1058347 	1317944 	1018322 	1250706.031 	1359240.4 	1070646.9 	956330.1 	956143.4 	1146616.6 	1267291.2 	1180972.2 	1536429.2 	1569343.7 	1757939.5 	1941404 	: 	: 	1420290 	1353678 
F07,TOTAL,TOTAL,TPW,EU,IS	: 	9063 	2182 	1770 	19149 	1394.107 	43718.7 	43690.1 	26275.9 	18823.4 	70620.9 	63106.6 	90464 	90281.9 	111753.6 	150361.1 	83892.6 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,IE,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1160.7 	14286.7 	1960.9 	: 	: 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,IS,IS	1149687 	1068667 	1026635 	1260807 	1004855 	1246972.408 	1357634.9 	1054568.6 	933722.3 	956126.8 	1119673.1 	1258567.7 	1179727.7 	1483761.3 	1533149.2 	1732313.4 	1912138.9 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,LT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.3 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,NO,IS	94610 	35757 	31712 	57137 	13467 	3733.623 	1605.5 	16078.3 	22607.8 	16.6 	26943.5 	8723.5 	1244.5 	52667.9 	36194.5 	25626.1 	29265.1 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,PL,IS	: 	6846 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2284.7 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,PT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	6 	0.5 	: 	: 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,SE,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3996.9 	4386.1 	: 	: 	: 	: 
F07,TOTAL,TOTAL,TPW,TOTAL,IS	1245952 	1169225 	1060529 	1319714 	1037471 	1252100.138 	1402959.1 	1114337 	982606 	974966.8 	1217237.5 	1330397.8 	1271436.2 	1626711.1 	1681097.3 	1908300.6 	2025296.6 	: 	: 	1420290 	1353678 
F07,TOTAL,TOTAL,TPW,UK,IS	: 	1781 	384 	96 	52 	1054.846 	545.6 	508 	45.8 	22 	: 	0.4 	2479 	5050.9 	2204.3 	2382.8 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,EUR,EFTA,IS	: 	: 	2821310.0222 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,EUR,IS,IS	: 	: 	2821310.0222 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,EUR,TOTAL,IS	: 	: 	2821310.0222 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,EUR_T,EFTA,IS	: 	: 	693.5374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,EUR_T,IS,IS	: 	: 	693.5374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,EUR_T,TOTAL,IS	: 	: 	693.5374 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,TPW,EFTA,IS	: 	: 	4068 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,TPW,IS,IS	: 	: 	4068 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,TOTAL,UNK,TPW,TOTAL,IS	: 	: 	4068 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	4773.3591 	186.4143 	126.6663 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,EUR,IS,IS	: 	: 	: 	: 	: 	: 	4773.3591 	186.4143 	126.6663 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	4773.3591 	186.4143 	126.6663 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	2075.3735 	932.0716 	1266.6625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	2075.3735 	932.0716 	1266.6625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	2075.3735 	932.0716 	1266.6625 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	2.3 	0.2 	0.1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,TPW,IS,IS	: 	: 	: 	: 	: 	: 	2.3 	0.2 	0.1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,HCN,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	2.3 	0.2 	0.1 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,IND,EUR,EFTA,IS	: 	: 	: 	: 	42175.409 	327927.1651 	1143547.713 	1253201.5132 	1178894.588 	445197.4363 	296260.1164 	937897.3716 	2076984.1287 	808313.2195 	297577.6378 	292098.5867 	370968.9435 	: 	: 	: 	: 
F07,UNK,IND,EUR,IS,IS	: 	: 	: 	: 	42175.409 	327927.1651 	1143547.713 	837929.5678 	1178894.588 	445197.4363 	296260.1164 	937897.3716 	2076984.1287 	808313.2195 	297577.6378 	292098.5867 	370968.9435 	: 	: 	: 	: 
F07,UNK,IND,EUR,NO,IS	: 	: 	: 	: 	: 	: 	: 	415271.9454 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,IND,EUR,TOTAL,IS	: 	: 	: 	: 	42175.409 	327927.1651 	1143547.713 	1253201.5132 	1178894.588 	445197.4363 	296260.1164 	937897.3716 	2076984.1287 	808313.2195 	297577.6378 	292098.5867 	370968.9435 	: 	: 	: 	: 
F07,UNK,IND,EUR_T,EFTA,IS	: 	: 	: 	: 	252.5474 	192.6239 	1133.5723 	617.5232 	1124.6848 	719.6855 	516.4025 	822.068 	880.2272 	581.353 	455.0813 	463.9431 	479.7219 	: 	: 	: 	: 
F07,UNK,IND,EUR_T,IS,IS	: 	: 	: 	: 	252.5474 	192.6239 	1133.5723 	985.4517 	1124.6848 	719.6855 	516.4025 	822.068 	880.2272 	581.353 	455.0813 	463.9431 	479.7219 	: 	: 	: 	: 
F07,UNK,IND,EUR_T,NO,IS	: 	: 	: 	: 	: 	: 	: 	352.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,IND,EUR_T,TOTAL,IS	: 	: 	: 	: 	252.5474 	192.6239 	1133.5723 	617.5232 	1124.6848 	719.6855 	516.4025 	822.068 	880.2272 	581.353 	455.0813 	463.9431 	479.7219 	: 	: 	: 	: 
F07,UNK,IND,TPW,EFTA,IS	: 	: 	: 	: 	167 	1702.422 	1008.8 	2029.4 	1048.2 	618.6 	573.7 	1140.9 	2359.6 	1390.4 	653.9 	629.6 	773.3 	: 	: 	: 	: 
F07,UNK,IND,TPW,IS,IS	: 	: 	: 	: 	167 	1702.422 	1008.8 	850.3 	1048.2 	618.6 	573.7 	1140.9 	2359.6 	1390.4 	653.9 	629.6 	773.3 	: 	: 	: 	: 
F07,UNK,IND,TPW,NO,IS	: 	: 	: 	: 	: 	: 	: 	1179.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,IND,TPW,TOTAL,IS	: 	: 	: 	: 	167 	1702.422 	1008.8 	2029.4 	1048.2 	618.6 	573.7 	1140.9 	2359.6 	1390.4 	653.9 	629.6 	773.3 	: 	: 	: 	: 
F07,UNK,TOTAL,EUR,EFTA,IS	: 	: 	: 	: 	42175.409 	327927.1651 	1148321.0721 	1253387.9275 	1179021.2543 	445197.4363 	296260.1164 	937897.3716 	2076984.1287 	808313.2195 	297577.6174 	292098.5667 	370968.9435 	: 	: 	: 	: 
F07,UNK,TOTAL,EUR,IS,IS	: 	: 	: 	: 	42175.409 	327927.1651 	1148321.0721 	838115.9821 	1179021.2543 	445197.4363 	296260.1164 	937897.3716 	2076984.1287 	808313.2195 	297577.6174 	292098.5667 	370968.9435 	: 	: 	: 	: 
F07,UNK,TOTAL,EUR,NO,IS	: 	: 	: 	: 	: 	: 	: 	415271.9454 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,TOTAL,EUR,TOTAL,IS	: 	: 	: 	: 	42175.409 	327927.1651 	1148321.0721 	1253387.9275 	1179021.2543 	445197.4363 	296260.1164 	937897.3716 	2076984.1287 	808313.2195 	297577.6174 	292098.5667 	370968.9435 	: 	: 	: 	: 
F07,UNK,TOTAL,EUR_T,EFTA,IS	: 	: 	: 	: 	252.5474 	192.6239 	1135.7146 	617.5542 	1124.6983 	719.6855 	516.4025 	822.068 	880.2272 	581.353 	455.0812 	463.9431 	479.7219 	: 	: 	: 	: 
F07,UNK,TOTAL,EUR_T,IS,IS	: 	: 	: 	: 	252.5474 	192.6239 	1135.7146 	985.4391 	1124.6983 	719.6855 	516.4025 	822.068 	880.2272 	581.353 	455.0812 	463.9431 	479.7219 	: 	: 	: 	: 
F07,UNK,TOTAL,EUR_T,NO,IS	: 	: 	: 	: 	: 	: 	: 	352.194 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,TOTAL,EUR_T,TOTAL,IS	: 	: 	: 	: 	252.5474 	192.6239 	1135.7146 	617.5542 	1124.6983 	719.6855 	516.4025 	822.068 	880.2272 	581.353 	455.0812 	463.9431 	479.7219 	: 	: 	: 	: 
F07,UNK,TOTAL,TPW,EFTA,IS	: 	: 	: 	: 	167 	1702.422 	1011.1 	2029.6 	1048.3 	618.6 	573.7 	1140.9 	2359.6 	1390.4 	653.9 	629.6 	773.3 	: 	: 	: 	: 
F07,UNK,TOTAL,TPW,IS,IS	: 	: 	: 	: 	167 	1702.422 	1011.1 	850.5 	1048.3 	618.6 	573.7 	1140.9 	2359.6 	1390.4 	653.9 	629.6 	773.3 	: 	: 	: 	: 
F07,UNK,TOTAL,TPW,NO,IS	: 	: 	: 	: 	: 	: 	: 	1179.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F07,UNK,TOTAL,TPW,TOTAL,IS	: 	: 	: 	: 	167 	1702.422 	1011.1 	2029.6 	1048.3 	618.6 	573.7 	1140.9 	2359.6 	1390.4 	653.9 	629.6 	773.3 	: 	: 	: 	: 
F07,WHL,HCN,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	449234.543 	605209.3712 	545708.3852 	567488.546 	492176.7199 	421473.662 	332065.6403 	460549.5485 	: 	: 	: 	: 	: 
F07,WHL,HCN,EUR,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	449234.543 	605209.3712 	545708.3852 	567488.546 	492176.7199 	421473.662 	332065.6403 	460549.5485 	: 	: 	: 	: 	: 
F07,WHL,HCN,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	449234.543 	605209.3712 	545708.3852 	567488.546 	492176.7199 	421473.662 	332065.6403 	460549.5485 	: 	: 	: 	: 	: 
F07,WHL,HCN,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	983.2229 	871.1809 	836.8477 	1449.1536 	1070.8806 	1036.3257 	810.9051 	1010.4202 	: 	: 	: 	: 	: 
F07,WHL,HCN,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	983.2229 	871.1809 	836.8477 	1449.1536 	1070.8806 	1036.3257 	810.9051 	1010.4202 	: 	: 	: 	: 	: 
F07,WHL,HCN,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	983.2229 	871.1809 	836.8477 	1449.1536 	1070.8806 	1036.3257 	810.9051 	1010.4202 	: 	: 	: 	: 	: 
F07,WHL,HCN,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	456.9 	694.7 	652.1 	391.6 	459.6 	406.7 	409.5 	455.8 	: 	: 	: 	: 	: 
F07,WHL,HCN,TPW,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	456.9 	694.7 	652.1 	391.6 	459.6 	406.7 	409.5 	455.8 	: 	: 	: 	: 	: 
F07,WHL,HCN,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	456.9 	694.7 	652.1 	391.6 	459.6 	406.7 	409.5 	455.8 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	449234.543 	605209.3712 	545708.3852 	567488.546 	492176.7199 	421473.662 	332065.6525 	460549.5568 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,EUR,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	449234.543 	605209.3712 	545708.3852 	567488.546 	492176.7199 	421473.662 	332065.6525 	460549.5568 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	449234.543 	605209.3712 	545708.3852 	567488.546 	492176.7199 	421473.662 	332065.6525 	460549.5568 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	983.2229 	871.1809 	836.8477 	1449.1536 	1070.8806 	1036.3257 	810.9051 	1010.4203 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	983.2229 	871.1809 	836.8477 	1449.1536 	1070.8806 	1036.3257 	810.9051 	1010.4203 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	983.2229 	871.1809 	836.8477 	1449.1536 	1070.8806 	1036.3257 	810.9051 	1010.4203 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	: 	456.9 	694.7 	652.1 	391.6 	459.6 	406.7 	409.5 	455.8 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,TPW,IS,IS	: 	: 	: 	: 	: 	: 	: 	: 	456.9 	694.7 	652.1 	391.6 	459.6 	406.7 	409.5 	455.8 	: 	: 	: 	: 	: 
F07,WHL,TOTAL,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	: 	456.9 	694.7 	652.1 	391.6 	459.6 	406.7 	409.5 	455.8 	: 	: 	: 	: 	: 
F08,CLA,IND,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	198.2406 	: 	46.3312 	35.542 	: 	: 	: 	: 	: 	381.4697 	: 	: 	: 	: 
F08,CLA,IND,EUR,IS,IS	: 	: 	: 	: 	: 	: 	: 	198.2406 	: 	46.3312 	35.542 	: 	: 	: 	: 	: 	381.4697 	: 	: 	: 	: 
F08,CLA,IND,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	198.2406 	: 	46.3312 	35.542 	: 	: 	: 	: 	: 	381.4697 	: 	: 	: 	: 
F08,CLA,IND,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	660.8021 	: 	463.3115 	355.4196 	: 	: 	: 	: 	: 	293.4382 	: 	: 	: 	: 
F08,CLA,IND,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	: 	660.8021 	: 	463.3115 	355.4196 	: 	: 	: 	: 	: 	293.4382 	: 	: 	: 	: 
F08,CLA,IND,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	660.8021 	: 	463.3115 	355.4196 	: 	: 	: 	: 	: 	293.4382 	: 	: 	: 	: 
F08,CLA,IND,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	0.1 	0.1 	: 	: 	: 	: 	: 	1.3 	: 	: 	: 	: 
F08,CLA,IND,TPW,IS,IS	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	0.1 	0.1 	: 	: 	: 	: 	: 	1.3 	: 	: 	: 	: 
F08,CLA,IND,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	0.1 	0.1 	: 	: 	: 	: 	: 	1.3 	: 	: 	: 	: 
F08,CLA,TOTAL,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	198.2406 	: 	46.3312 	35.542 	: 	: 	: 	: 	: 	381.4697 	: 	: 	: 	: 
F08,CLA,TOTAL,EUR,IS,IS	: 	: 	: 	: 	: 	: 	: 	198.2406 	: 	46.3312 	35.542 	: 	: 	: 	: 	: 	381.4697 	: 	: 	: 	: 
F08,CLA,TOTAL,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	198.2406 	: 	46.3312 	35.542 	: 	: 	: 	: 	: 	381.4697 	: 	: 	: 	: 
F08,CLA,TOTAL,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	660.8021 	: 	463.3115 	355.4196 	: 	: 	: 	: 	: 	293.4382 	: 	: 	: 	: 
F08,CLA,TOTAL,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	: 	660.8021 	: 	463.3115 	355.4196 	: 	: 	: 	: 	: 	293.4382 	: 	: 	: 	: 
F08,CLA,TOTAL,EUR_T,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	660.8021 	: 	463.3115 	355.4196 	: 	: 	: 	: 	: 	293.4382 	: 	: 	: 	: 
F08,CLA,TOTAL,TPW,EFTA,IS	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	0.1 	0.1 	: 	: 	: 	: 	: 	1.3 	: 	: 	: 	: 
F08,CLA,TOTAL,TPW,IS,IS	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	0.1 	0.1 	: 	: 	: 	: 	: 	1.3 	: 	: 	: 	: 
F08,CLA,TOTAL,TPW,TOTAL,IS	: 	: 	: 	: 	: 	: 	: 	0.3 	: 	0.1 	0.1 	: 	: 	: 	: 	: 	1.3 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR,EFTA,IS	224672.9037 	375418.296 	1474445.8878 	806212.832 	1758413.184 	4394171.0353 	1716180.6574 	695740.9297 	709767.6404 	: 	: 	3050.3819 	357671.6974 	460618.7684 	442236.1688 	1365289.836 	2907665.7076 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33177.999 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR,IS,IS	224672.9037 	375418.296 	1474445.8878 	806212.832 	1758413.184 	4394171.0353 	1716180.6574 	695740.9297 	709767.6404 	: 	: 	3050.3819 	357671.6974 	460618.7684 	442236.1688 	1365289.836 	2907665.7076 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR,LT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33177.999 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR,TOTAL,IS	224672.9037 	375418.296 	1474445.8878 	806212.832 	1758413.184 	4394171.0353 	1716180.6574 	695740.9297 	709767.6404 	: 	: 	3050.3819 	357671.6974 	460618.7684 	442236.1688 	1365289.836 	2940843.7066 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR_T,EFTA,IS	4585.1613 	4692.7287 	4261.4043 	5447.384 	4995.492 	5077.2254 	3165.217 	2996.3003 	1981.4842 	: 	: 	2346.4476 	1240.6233 	1844.6887 	1354.8902 	1642.3551 	2095.4639 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR_T,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1193.4532 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR_T,IS,IS	4585.1613 	4692.7287 	4261.4043 	5447.384 	4995.492 	5077.2254 	3165.217 	2996.3003 	1981.4842 	: 	: 	2346.4476 	1240.6233 	1844.6887 	1354.8902 	1642.3551 	2095.4639 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR_T,LT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1193.4532 	: 	: 	: 	: 
F08,COK_FRO,HCN,EUR_T,TOTAL,IS	4585.1613 	4692.7287 	4261.4043 	5447.384 	4995.492 	5077.2254 	3165.217 	2996.3003 	1981.4842 	: 	: 	2346.4476 	1240.6233 	1844.6887 	1354.8902 	1642.3551 	2077.7474 	: 	: 	: 	: 
F08,COK_FRO,HCN,TPW,EFTA,IS	49 	80 	346 	148 	352 	865.467 	542.2 	232.2 	358.2 	: 	: 	1.3 	288.3 	249.7 	326.4 	831.3 	1387.6 	: 	: 	: 	: 
F08,COK_FRO,HCN,TPW,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.8 	: 	: 	: 	: 
F08,COK_FRO,HCN,TPW,IS,IS	49 	80 	346 	148 	352 	865.467 	542.2 	232.2 	358.2 	: 	: 	1.3 	288.3 	249.7 	326.4 	831.3 	1387.6 	: 	: 	: 	: 
F08,COK_FRO,HCN,TPW,LT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.8 	: 	: 	: 	: 
F08,COK_FRO,HCN,TPW,TOTAL,IS	49 	80 	346 	148 	352 	865.467 	542.2 	232.2 	358.2 	: 	: 	1.3 	288.3 	249.7 	326.4 	831.3 	1415.4 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR,EFTA,IS	224672.9037 	375418.296 	1474445.8878 	806212.832 	1758413.184 	4394171.0353 	1716180.6574 	695740.9297 	709767.6404 	: 	: 	3050.3819 	357671.6974 	460618.7684 	442236.1613 	1365289.7946 	2907665.7076 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33177.999 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR,IS,IS	224672.9037 	375418.296 	1474445.8878 	806212.832 	1758413.184 	4394171.0353 	1716180.6574 	695740.9297 	709767.6404 	: 	: 	3050.3819 	357671.6974 	460618.7684 	442236.1613 	1365289.7946 	2907665.7076 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR,LT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33177.999 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR,TOTAL,IS	224672.9037 	375418.296 	1474445.8878 	806212.832 	1758413.184 	4394171.0353 	1716180.6574 	695740.9297 	709767.6404 	: 	: 	3050.3819 	357671.6974 	460618.7684 	442236.1613 	1365289.7946 	2940843.7066 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR_T,EFTA,IS	4585.1613 	4692.7287 	4261.4043 	5447.384 	4995.492 	5077.2254 	3165.217 	2996.3003 	1981.4842 	: 	: 	2346.4476 	1240.6233 	1844.6887 	1354.8902 	1642.3551 	2095.4639 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR_T,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1193.4532 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR_T,IS,IS	4585.1613 	4692.7287 	4261.4043 	5447.384 	4995.492 	5077.2254 	3165.217 	2996.3003 	1981.4842 	: 	: 	2346.4476 	1240.6233 	1844.6887 	1354.8902 	1642.3551 	2095.4639 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR_T,LT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1193.4532 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,EUR_T,TOTAL,IS	4585.1613 	4692.7287 	4261.4043 	5447.384 	4995.492 	5077.2254 	3165.217 	2996.3003 	1981.4842 	: 	: 	2346.4476 	1240.6233 	1844.6887 	1354.8902 	1642.3551 	2077.7474 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,TPW,EFTA,IS	49 	80 	346 	148 	352 	865.467 	542.2 	232.2 	358.2 	: 	: 	1.3 	288.3 	249.7 	326.4 	831.3 	1387.6 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,TPW,EU,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.8 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,TPW,IS,IS	49 	80 	346 	148 	352 	865.467 	542.2 	232.2 	358.2 	: 	: 	1.3 	288.3 	249.7 	326.4 	831.3 	1387.6 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,TPW,LT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.8 	: 	: 	: 	: 
F08,COK_FRO,TOTAL,TPW,TOTAL,IS	49 	80 	346 	148 	352 	865.467 	542.2 	232.2 	358.2 	: 	: 	1.3 	288.3 	249.7 	326.4 	831.3 	1415.4 	: 	: 	: 	: 
F08,DRI,HCN,EUR,EFTA,IS	: 	: 	: 	: 	: 	: 	213.5258 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F08,DRI,HCN,EUR,IS,IS	: 	: 	: 	: 	: 	: 	213.5258 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F08,DRI,HCN,EUR,TOTAL,IS	: 	: 	: 	: 	: 	: 	213.5258 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F08,DRI,HCN,EUR_T,EFTA,IS	: 	: 	: 	: 	: 	: 	266.9072 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F08,DRI,HCN,EUR_T,IS,IS	: 	: 	: 	: 	: 	: 	266.9072 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
