species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 
ARU,FRE,IND,TPW,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	11.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,IND,TPW,EFTA,IS	: 	106 	176 	259 	: 	178.234 	11.6 	: 	135.7 	726.1 	259.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,IND,TPW,EU,IS	: 	44 	: 	: 	: 	: 	: 	: 	11.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,IND,TPW,IS,IS	: 	106 	176 	259 	: 	178.234 	11.6 	: 	135.7 	726.1 	259.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,IND,TPW,NO,IS	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,IND,TPW,PL,IS	: 	44 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,IND,TPW,TOTAL,IS	: 	150 	176 	259 	: 	178.234 	11.6 	: 	146.8 	726.1 	259.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,EUR,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	2058.2497 	: 	265329.9266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,EUR,EFTA,IS	168292.386 	222700.7728 	1289410.0373 	1596334.122 	752559.06 	1102775.1396 	2342162.4796 	151708.3409 	127434.0178 	198716.4765 	93423.4771 	166705.6423 	11536.3122 	4080.965 	17708.3832 	876.0318 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE,TOTAL,EUR,EU,IS	: 	5657.872 	: 	: 	: 	: 	: 	: 	2058.2497 	: 	265329.9266 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,EUR,IS,IS	168292.386 	222700.7728 	1289410.0373 	1596334.122 	752559.06 	1102775.1396 	2342162.4796 	151708.3409 	127434.0178 	198716.4765 	93423.4771 	166705.6423 	11536.3122 	4080.965 	17708.3832 	876.0318 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE,TOTAL,EUR,NO,IS	: 	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,EUR,PL,IS	: 	5657.872 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
ARU,FRE,TOTAL,EUR,TOTAL,IS	168292.386 	228358.6448 	1289410.0373 	1596334.122 	752559.06 	1102775.1396 	2342162.4796 	151708.3409 	129492.2675 	198716.4765 	358753.4037 	166705.6423 	11536.3122 	4080.965 	17708.3832 	876.0318 	10289.3131 	6716.4006 	: 	: 	: 
ARU,FRE,TOTAL,EUR_T,DK,IS	: 	: 	: 	: 	: 	: 	: 	: 	185.4279 	: 	459.2867 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
