species,pres,dest_use,unit,natvessr,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
ACC,FRE_WHL,TOTAL,EUR,EU,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE_WHL,TOTAL,EUR,LV,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE_WHL,TOTAL,EUR,TOTAL,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,FRE_WHL,TOTAL,EUR_T,EU,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE_WHL,TOTAL,EUR_T,LV,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE_WHL,TOTAL,EUR_T,TOTAL,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,FRE_WHL,TOTAL,TPW,EU,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE_WHL,TOTAL,TPW,LV,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,FRE_WHL,TOTAL,TPW,TOTAL,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,TOTAL,HCN,EUR,EU,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,TOTAL,HCN,EUR,LV,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,TOTAL,HCN,EUR,TOTAL,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,TOTAL,HCN,EUR_T,EU,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,TOTAL,HCN,EUR_T,LV,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,TOTAL,HCN,EUR_T,TOTAL,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,TOTAL,HCN,TPW,EU,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,TOTAL,HCN,TPW,LV,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,TOTAL,HCN,TPW,TOTAL,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,EUR,EU,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,EUR,LV,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,EUR,TOTAL,LV	4.2 	35.7 	46.8 	36 	62 	12.1759 	11.4564 	41.059 	12.6993 	134.3347 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,EUR_T,EU,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,EUR_T,LV,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,EUR_T,TOTAL,LV	210 	210 	360 	360 	310 	243.5181 	286.4099 	410.5904 	126.9931 	447.7823 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,TPW,EU,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,TPW,LV,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
ACC,TOTAL,TOTAL,TPW,TOTAL,LV	0.02 	0.17 	0.13 	0.1 	0.2 	0.05 	0.04 	0.1 	0.1 	0.3 	: 	: 	: 	: 
APU,FRE,HCN,EUR,EU,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,HCN,EUR,LV,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,HCN,EUR,TOTAL,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,HCN,EUR_T,EU,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,HCN,EUR_T,LV,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,HCN,EUR_T,TOTAL,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,HCN,TPW,EU,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,HCN,TPW,LV,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,HCN,TPW,TOTAL,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,EUR,EU,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,EUR,LV,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,EUR,TOTAL,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,EUR_T,EU,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,EUR_T,LV,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,EUR_T,TOTAL,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,TPW,EU,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,TPW,LV,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE,TOTAL,TPW,TOTAL,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,EUR,EU,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,EUR,LV,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,EUR,TOTAL,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,EUR_T,EU,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,EUR_T,LV,LV	210 	210 	360 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,EUR_T,TOTAL,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,TPW,EU,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,TPW,LV,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,HCN,TPW,TOTAL,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,EUR,EU,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,EUR,LV,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,EUR,TOTAL,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,EUR_T,EU,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,EUR_T,LV,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,EUR_T,TOTAL,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,TPW,EU,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,TPW,LV,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,FRE_WHL,TOTAL,TPW,TOTAL,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,HCN,EUR,EU,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,HCN,EUR,LV,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,HCN,EUR,TOTAL,LV	2.1 	2.1 	3.6 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,HCN,EUR_T,EU,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,HCN,EUR_T,LV,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,HCN,EUR_T,TOTAL,LV	210 	210 	360 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
APU,TOTAL,HCN,TPW,EU,LV	0.01 	0.01 	0.01 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
